序号,代码,名称,市场代码简称,最新价(元) 2026.05.08,涨跌幅(%) 2026.05.08,区间振幅(%) 2026.05.06 - 2026.05.08,区间换手率(%) 2026.05.06 - 2026.05.08,RSI1(6日) 2026.05.08,MACD值 2026.05.08,ST股票,阶段强势股 2026.05.08,概念,收盘价(日线不复权)(元) 2026.05.08,成交额(元) 2026.05.08,流通市值(元) 2026.05.08,东财行业总分类,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,市盈率(动)(倍) 2026.05.08,市净率(倍) 2026.05.08,总市值(元) 2026.05.08
11,002050,三花智控,SZ,51.69,2.72,15.52,17.05,84.37,1.51,否,符合,深证100R、新能源车、燃料电池概念、标准普尔、深成500、宁德时代概念、小米概念、长安汽车概念、东方财富热股、电池技术、HS300_、大盘成长、智能家居、DeepSeek概念、富时罗素、MSCI中国、机器人概念、融资融券、华为汽车、行业龙头、微通道水冷板、液冷概念、深股通、大盘股、数据中心、人形机器人、空气能热泵、比亚迪概念、一带一路、股权激励、汽车热管理、机器人执行器、长江三角、冷链物流、特斯拉概念,51.69,141.99亿,1904.36亿,家用电器-家电零部件Ⅱ-家电零部件Ⅲ,1.370,53.88,49.71,7.42,2.03,2.74亿,58.62,6.6665,2175.12亿
12,600487,亨通光电,SH,77.27,1.72,18.25,22.32,79.89,1.91,否,符合,国产芯片、海工装备、东方财富热股、大盘成长、无人驾驶、量子通信、富时罗素、物联网、机器人概念、军工、融资融券、液冷概念、上证380、F5G概念、特高压、网络安全、数据中心、光纤概念、智能电网、长江三角、大数据、光纤光缆、5G概念、昨日高振幅、光通信模块、新能源车、水利建设、标准普尔、华为概念、通信技术、创投、百日新高 、CPO概念、毫米波概念、DeepSeek概念、海底电缆、MSCI中国、电网概念、量子科技、6G概念、近期新高、中证500、沪股通、智慧城市、大盘股、历史新高 、小米汽车、人形机器人、一带一路、太赫兹、风能、柔性直流输电,77.27,126.66亿,1889.39亿,通信-通信设备-通信线缆及配套,1.310,79.49,74.25,6.68,0.97,1.63亿,43.10,5.8805,1905.78亿
13,300124,汇川技术,SZ,75.00,-0.73,10.50,8.01,74.32,2.44,否,符合,周期股、工业母机、深证100R、数字经济、新能源车、工业互联、深圳特区、深成500、新型工业化、小米概念、HS300_、大盘成长、储能概念、农机、AI应用、DeepSeek概念、人工智能、央视50_、富时罗素、MSCI中国、机器人概念、PLC概念、宁组合、融资融券、行业龙头、液冷概念、深股通、储能变流器、大盘股、汽车一体化压铸、机器视觉、人形机器人、小米汽车、换电概念、茅指数、创业板综、碳中和,75.00,38.37亿,1807.62亿,机械设备-自动化设备-工控设备,-0.550,76.21,74.53,2.12,0.72,5102.91万,50.09,5.5813,2030.58亿
14,601698,中国卫通,SH,39.80,5.21,11.64,6.85,76.56,0.75,否,符合,北斗导航、军工、6G概念、低空经济、融资融券、行业龙头、上证180_、卫星测控、商业航天、沪股通、大盘股、HS300_、大盘成长、一带一路、央国企改革、中特估、中字头、富时罗素、MSCI中国、卫星互联网,39.80,54.17亿,1681.31亿,国防军工-航天装备Ⅱ-航天装备Ⅲ,1.970,40.88,37.38,3.29,2.24,1.39亿,1565.96,10.5249,1681.31亿
15,000338,潍柴动力,SZ,33.06,-5.54,9.52,8.96,67.45,1.23,否,符合,车联网(车路云)、深证100R、证金持股、贬值受益、新能源车、燃料电池概念、柴油发电机、标准普尔、深成500、节能环保、AI智能体、最近多板、电池技术、HS300_、固态电池、农机、央国企改革、DeepSeek概念、无人驾驶、富时罗素、MSCI中国、融资融券、行业龙头、深股通、自动紧急制动系统（AEBS）、高股息精选、大盘股、价值股、数据中心、氢能源、一带一路、比亚迪概念、锂电池概念、高端装备、智能物流、汽车电子、SOFC,33.06,48.38亿,1654.15亿,汽车-汽车零部件-底盘与发动机系统,-1.940,34.50,32.88,2.90,1.10,1.45亿,23.34,3.0203,2880.32亿
16,601869,长飞光纤,SH,397.23,2.06,14.55,14.04,66.09,-9.20,否,符合,国产芯片、光纤光缆、专精特新、5G概念、海工装备、昨日高振幅、光通信模块、新能源车、工业互联、第三代半导体、标准普尔、铜缆高速连接、通信技术、东方财富热股、创投、大盘成长、空芯光纤、CPO概念、量子通信、富时罗素、量子科技、机器人概念、融资融券、超清视频、上证380、沪股通、特高压、大盘股、碳化硅、人形机器人、光纤概念、一带一路、智能电网、太赫兹、抖音概念(字节概念)、风能,397.23,75.76亿,1614.10亿,通信-通信设备-通信线缆及配套,8.030,405.00,373.00,4.79,1.19,1945.62万,166.05,23.1078,3288.69亿
17,300408,三环集团,SZ,86.30,-0.78,7.93,6.03,86.83,3.48,否,符合,5G概念、周期股、深证100R、证金持股、燃料电池概念、光通信模块、深成500、华为概念、小米概念、通信技术、智能穿戴、电池技术、消费电子概念、HS300_、大盘成长、CPO概念、富时罗素、MLCC、MSCI中国、融资融券、深股通、大盘股、被动元件概念、数据中心、新材料、光纤概念、创业板综、SOFC,86.30,29.01亿,1613.64亿,电子-元件-被动元件,-0.680,86.61,83.70,1.82,0.84,3408.03万,52.28,7.6796,1653.94亿
18,300442,润泽科技,SZ,98.08,0.65,8.87,13.26,68.79,0.91,否,符合,东数西算、融资融券、深证100R、海南自贸、液冷概念、深股通、算力概念、字节系算力、深成500、大盘股、Kimi概念、数据中心、互联网服务、HS300_、大盘成长、京津冀一体化、算力租赁、创业板综、中国AI 50、抖音概念(字节概念)、2025年报预增、MSCI中国、机器人概念,98.08,65.11亿,1598.53亿,通信-通信服务-通信应用增值服务,0.630,100.90,95.08,4.05,1.21,6607.66万,68.83,11.2201,1602.96亿
19,000063,中兴通讯,SZ,38.68,-0.57,4.50,12.43,71.36,0.68,否,符合,国产芯片、屏下摄像、区块链、多模态AI、深证100R、乡村振兴、数字经济、深圳特区、深成500、AI智能体、AI芯片、交换机、智能穿戴、腾讯概念、边缘计算、AI应用、量子通信、中国AI 50、国产操作系统、富时罗素、无线充电、物联网、机器人概念、低空经济、融资融券、液冷概念、超清视频、无人机、ChatGPT概念、商业航天、网络安全、数据中心、AI手机代工、卫星导航、光纤概念、星闪概念、汽车芯片、智能医疗、无线耳机、粤港澳大湾区、数据中心液冷、5G概念、车联网(车路云)、东数西算、IPv6、通感一体化、证金持股、元宇宙概念、DPU、新能源车、水利建设、工业互联、标准普尔、通信技术、消费电子概念、HS300_、信创、百度概念、在线教育、DeepSeek概念、人工智能、MSCI中国、AI手机、量子科技、卫星互联网、云计算、6G概念、AI眼镜、深股通、算力概念、空管系统、虚拟现实、智慧城市、大盘股、人形机器人、锂电池概念、比亚迪概念、海峡两岸、太赫兹、抖音概念(字节概念)、汽车电子,38.68,52.96亿,1557.88亿,通信-通信设备-通信网络设备及器件,-0.220,38.90,37.93,3.42,1.03,1.38亿,35.30,2.4128,1850.27亿
20,600176,中国巨石,SH,38.00,0.18,10.14,10.35,79.51,0.74,否,符合,2026—季报预增、周期股、融资融券、行业龙头、上证180_、养老金、沪股通、电子布、标准普尔、大盘股、PCB、光伏概念、HS300_、新材料、一带一路、央国企改革、DeepSeek概念、中欧经济一体化、中字头、富时罗素、PEEK材料概念、MSCI中国、风能、长江三角,38.00,43.78亿,1521.19亿,建筑材料-玻璃玻纤-玻纤制造,0.070,38.70,36.83,2.89,0.71,1.16亿,30.01,4.7114,1521.19亿
21,002281,光迅科技,SZ,180.72,10.00,23.36,28.54,92.95,8.98,否,符合,国产芯片、光芯片、中盘股、5G概念、东数西算、昨日高振幅、OCS交换机、光通信模块、标准普尔、深成500、华为概念、通信技术、东方财富热股、腾讯概念、央国企改革、百度概念、百日新高 、CPO概念、量子通信、富时罗素、MSCI中国、阿里概念、量子科技、激光雷达、6G概念、融资融券、液冷概念、深股通、近期新高、字节系算力、中盘成长、昨日触板、量子测量、中证500、F5G概念、华为系算力、数据中心、历史新高 、一带一路、光纤概念、6G元器件、昨日炸板、抖音概念(字节概念)、湖北三资改革、湖北自贸,180.72,137.62亿,1408.71亿,通信-通信设备-通信网络设备及器件,16.430,180.72,158.64,10.54,1.21,8218.24万,151.90,14.0984,1457.82亿
22,603019,中科曙光,SH,96.30,-2.48,6.73,18.85,60.43,1.55,否,符合,国产芯片、区块链、数字经济、上证180_、冷却液、AI智能体、新型工业化、大盘成长、腾讯概念、边缘计算、独角兽、量子通信、中国AI 50、国产操作系统、中字头、富时罗素、融资融券、液冷概念、网络安全、数据中心、Web3.0、智能电网、智能医疗、大数据、数据中心液冷、东数西算、工业互联、标准普尔、创投、HS300_、信创、VPN、算力租赁、央国企改革、百度概念、DeepSeek概念、人工智能、MSCI中国、量子科技、云计算、数据安全、数字孪生、雄安新区、算力概念、沪股通、智慧城市、大盘股、上证50_、一带一路、中特估、抖音概念(字节概念)、智谱AI,96.30,65.49亿,1408.59亿,计算机-计算机设备-其他计算机设备,-2.450,97.99,96.00,4.64,0.90,6785.00万,154.60,6.2467,1408.98亿
23,600522,中天科技,SH,40.90,6.57,22.61,24.49,81.51,1.30,否,符合,国产芯片、海工装备、数字经济、上证180_、3D打印、铜缆高速连接、东方财富热股、空芯光纤、碳纤维、OLED、央视50_、富时罗素、物联网、阿里概念、机器人概念、数据要素、中越经济一体化、融资融券、低空经济、液冷概念、昨日首板、商业航天、绿色电力、半导体概念、特高压、数据中心、光伏概念、铁路基建、超导概念、光纤概念、智能电网、石墨烯、海洋经济、长江三角、碳中和、大数据、光纤光缆、数据中心液冷、5G概念、东数西算、昨日高振幅、证金持股、光通信模块、新能源车、钙钛矿电池、工业互联、标准普尔、航运概念、华为概念、最近多板、通信技术、创投、电池技术、HS300_、固态电池、储能概念、核能核电、百日新高 、CPO概念、DeepSeek概念、超级电容、海底电缆、MSCI中国、电网概念、量子科技、6G概念、充电桩、近期新高、沪股通、参股券商、大盘股、新能源、氢能源、系统集成、新材料、历史新高 、可控核聚变、一带一路、锂电池概念、中欧经济一体化、阿里系算力、风能、参股银行、柔性直流输电、汽车电子,40.90,124.49亿,1395.90亿,通信-通信设备-通信线缆及配套,2.520,41.16,38.20,9.15,1.32,3.12亿,37.98,3.6722,1395.90亿
24,688521,芯原股份,SH,262.00,-4.73,13.10,22.27,55.31,5.43,否,符合,国产芯片、东数西算、国家大基金持股、GPU、AI芯片、大盘成长、腾讯概念、人工智能、无人驾驶、MCU芯片、物联网、MSCI中国、阿里概念、AI手机、上海自贸、融资融券、AI眼镜、数字货币、虚拟现实、上证380、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、智能音箱、汽车芯片,262.00,82.31亿,1377.90亿,电子-半导体-数字芯片设计,-13.000,273.97,260.16,5.89,0.92,3096.77万,-101.07,43.7845,1377.90亿
25,605117,德业股份,SH,151.27,-1.99,8.22,4.52,56.66,0.77,否,符合,国产芯片、2026—季报预增、融资融券、共同富裕示范区、上证180_、贬值受益、沪股通、大盘股、光伏概念、HS300_、大盘成长、储能概念、中马经济一体化、一带一路、光伏逆变器、MSCI中国,151.27,16.34亿,1375.55亿,电力设备-光伏设备-逆变器,-3.070,155.97,149.54,1.18,0.75,1074.47万,28.95,11.8696,1375.55亿
26,000988,华工科技,SZ,136.69,2.39,12.75,31.96,82.67,3.12,否,符合,国产芯片、全息技术、乡村振兴、高压快充、3D打印、柔性屏(折叠屏)、深成500、铜缆高速连接、AI智能体、新型工业化、宁德时代概念、东方财富热股、大盘成长、腾讯概念、农机、独角兽、量子通信、富时罗素、物联网、基因测序、阿里概念、机器人概念、数据要素、航空发动机、融资融券、华为汽车、F5G概念、商业航天、半导体概念、苹果概念、先进封装、华为系算力、PCB、玻璃基板、卫星导航、汽车热管理、湖北三资改革、湖北自贸、MiniLED、光芯片、专精特新、2026—季报预增、5G概念、工业母机、东数西算、昨日高振幅、光通信模块、新能源车、钙钛矿电池、第三代半导体、工业互联、标准普尔、华为概念、通信技术、长安汽车概念、创投、MicroLED、央国企改革、智能家居、百度概念、CPO概念、DeepSeek概念、MSCI中国、量子科技、6G概念、数字孪生、大飞机、移动支付、充电桩、深股通、智能座舱、智慧城市、大盘股、蓝宝石、IPO受益、氢能源、新材料、比亚迪概念、6G元器件、锂电池概念、高端装备、传感器、汽车电子、3D玻璃、特斯拉概念,136.69,140.27亿,1373.71亿,机械设备-自动化设备-激光设备,3.190,136.90,129.28,10.52,1.16,1.06亿,53.82,11.7598,1374.42亿
27,300857,协创数据,SZ,284.50,-0.17,11.81,18.49,76.28,8.96,否,符合,国产芯片、中盘股、贬值受益、网络游戏、短剧互动游戏、存储芯片、深圳特区、深成500、AI智能体、智能穿戴、腾讯概念、AI应用、物联网、阿里概念、云游戏、机器人概念、融资融券、AIGC概念、中盘成长、智能音箱、数据中心、英伟达概念、大数据、光芯片、粤港澳大湾区、2026—季报预增、车联网(车路云)、东数西算、光通信模块、小米概念、通信技术、消费电子概念、跨境电商、算力租赁、智能家居、CPO概念、DeepSeek概念、人工智能、2025年报预增、MSCI中国、人脸识别、云计算、安防概念、AI眼镜、深股通、算力概念、中证500、净水概念、人形机器人、创业板综、汽车电子、EDR概念,284.50,71.49亿,1371.48亿,电子-消费电子-消费电子零部件及组装,-0.490,293.98,276.19,5.19,0.75,2502.06万,45.93,27.1697,1378.60亿
28,600489,中金黄金,SH,28.22,1.69,9.28,4.95,75.06,0.53,否,符合,金属铜、稀缺资源、周期股、融资融券、上证180_、贬值受益、高股息精选、沪股通、黄金加工、标准普尔、大盘股、黄金开采、HS300_、铜矿、央国企改革、中特估、小金属概念、中字头、富时罗素、2025年报预增、MSCI中国、黄金概念、化债(AMC)概念,28.22,21.24亿,1367.91亿,有色金属-贵金属-黄金,0.470,28.48,27.45,1.57,1.14,7588.78万,14.37,4.1708,1367.91亿
29,688525,佰维存储,SH,290.45,-3.13,13.90,29.41,58.93,1.86,否,符合,国产芯片、粤港澳大湾区、专精特新、AIPC、国家大基金持股、存储芯片、华为概念、小米概念、智能穿戴、消费电子概念、大盘成长、信创、2025年报预增、MSCI中国、阿里概念、AI手机、机器人概念、融资融券、AI眼镜、上证380、中证500、沪股通、半导体概念、先进封装、大盘股、数据中心、人形机器人、比亚迪概念、股权激励、汽车芯片、DRAM存储,290.45,86.47亿,1367.55亿,电子-半导体-数字芯片设计,-9.400,294.37,287.08,6.32,0.77,2976.96万,11.79,16.0659,1367.55亿
30,600118,中国卫星,SH,114.18,6.41,16.34,18.93,84.11,4.04,否,符合,北斗导航、国产芯片、航天航空、水利建设、标准普尔、军民融合、机载设备、京津冀一体化、央国企改革、人工智能、中字头、富时罗素、航母概念、MSCI中国、卫星互联网、军工、大飞机、6G概念、低空经济、融资融券、近期新高、卫星通信、无人机、上证380、中证500、商业航天、沪股通、大盘股、卫星导航、一带一路、中特估、高端装备、时空大数据、智能医疗、空间站概念,114.18,98.19亿,1350.17亿,国防军工-航天装备Ⅱ-航天装备Ⅲ,6.880,118.00,105.55,7.52,1.45,8888.02万,-790.68,21.3467,1350.17亿
31,688498,源杰科技,SH,1575.00,-3.31,10.38,12.72,66.04,17.59,否,符合,国产芯片、光芯片、中盘股、融资融券、5G概念、西部大开发、2025年报扭亏、光通信模块、中盘成长、沪股通、半导体概念、华为概念、通信技术、数据中心、光纤概念、CPO概念、汽车芯片、MSCI中国,1575.00,46.60亿,1336.21亿,电子-半导体-分立器件,-54.000,1625.00,1567.82,3.46,0.78,293.64万,188.60,53.6167,1353.68亿
32,600893,航发动力,SH,50.10,3.66,10.40,4.73,66.14,0.17,否,符合,军工、大飞机、航空发动机、融资融券、低空经济、西部大开发、航天航空、上证180_、无人机、沪股通、标准普尔、大盘股、数据中心、HS300_、陕西国企改革、央国企改革、微利股、通用航空、高端装备、富时罗素、航母概念、MSCI中国、参股银行,50.10,27.73亿,1335.23亿,国防军工-航空装备Ⅱ-航空装备Ⅲ,1.770,51.31,47.34,2.10,1.59,5591.33万,1.30万,3.3212,1335.46亿
33,301308,江波龙,SZ,479.99,-0.69,20.56,27.86,79.60,22.29,否,符合,国产芯片、专精特新、AIPC、长江存储、贬值受益、国家大基金持股、存储芯片、深成500、小米概念、华为概念、最近多板、智能穿戴、消费电子概念、AI手机结构件、信创、2025年报预增、MSCI中国、AI手机、机器人概念、华为鲲鹏、数据安全、融资融券、AI眼镜、深股通、智能座舱、中证500、半导体概念、大盘股、先进封装、数据中心、长鑫存储、小米汽车、创业板综、DRAM存储、EDR概念,479.99,91.92亿,1317.06亿,电子-半导体-数字芯片设计,-3.340,485.00,472.67,7.00,0.76,1919.75万,13.02,16.5119,2011.86亿
34,603256,宏和科技,SH,148.87,3.30,24.20,6.70,94.88,7.49,否,符合,国产芯片、专精特新、中盘股、5G概念、昨日高振幅、近期新高、台资控股、中盘成长、沪股通、华为手机、电子布、苹果概念、PCB、华为概念、最近多板、通信技术、数据中心、东方财富热股、消费电子概念、历史新高 、百日新高 、海峡两岸、2025年报预增,148.87,35.05亿,1309.65亿,建筑材料-玻璃玻纤-玻纤制造,4.760,151.08,138.68,2.70,1.04,2377.60万,233.48,48.5880,1309.65亿
35,688072,拓荆科技,SH,463.05,-3.44,7.47,6.33,70.71,14.29,否,符合,国产芯片、专精特新、融资融券、上证180_、国家大基金持股、沪股通、半导体概念、存储芯片、大盘股、先进封装、大盘成长、中芯概念、高带宽内存、先进封装设备、MSCI中国,463.05,22.05亿,1309.01亿,电子-半导体-半导体设备,-16.510,479.56,456.72,1.68,0.68,473.77万,57.35,18.0044,1309.01亿
36,688111,金山办公,SH,271.26,-1.07,11.38,8.89,74.96,8.23,否,符合,2026—季报预增、鸿蒙概念、上证180_、AI智能体、Kimi概念、小米概念、华为概念、HS300_、大盘成长、腾讯概念、信创、科创板做市股、AI应用、DeepSeek概念、人工智能、中国AI 50、MSCI中国、AI办公、云计算、融资融券、SaaS、沪股通、大盘股、云办公、国产软件、上证50_、茅指数、智谱AI,271.26,40.05亿,1256.94亿,计算机-软件开发-横向通用软件,-2.930,282.18,271.00,3.13,1.44,1448.68万,14.31,8.3078,1256.94亿
37,600673,东阳光,SH,39.90,-6.84,10.99,8.43,66.32,1.61,否,符合,国产芯片、东数西算、煤炭概念、冷却液、标准普尔、华为概念、最近多板、东方财富热股、电池技术、消毒剂、大盘成长、成渝特区、2025三季报预增、储能概念、算力租赁、AI应用、PVDF概念、超级电容、富时罗素、MSCI中国、机器人概念、融资融券、行业龙头、液冷概念、上证380、中证500、沪股通、大盘股、数据中心、氟化工概念、新材料、人形机器人、锂电池概念、锂矿概念,39.90,90.92亿,1197.62亿,综合-综合Ⅱ-综合Ⅲ,-2.930,42.83,39.77,7.43,4.42,2.23亿,251.69,12.0941,1200.81亿
38,002008,大族激光,SZ,122.06,8.58,23.86,16.78,88.69,3.54,否,符合,国产芯片、火箭发射、中盘股、钙钛矿设备、3D打印、深圳特区、深成500、存储芯片、宁德时代概念、新型工业化、东方财富热股、OLED、央视50_、富时罗素、物联网、机器人概念、MicroLED设备、融资融券、昨日首板、中盘成长、商业航天、半导体概念、苹果概念、先进封装、PCB、光伏概念、玻璃基板、光纤概念、先进封装材料、机器人执行器、MiniLED、粤港澳大湾区、工业母机、昨日高振幅、证金持股、新能源车、钙钛矿电池、第三代半导体、标准普尔、华为概念、小米概念、TOPCON电池、最近多板、电池技术、消费电子概念、固态电池、巨量转移、MicroLED、百日新高 、混合现实、富士康概念、MSCI中国、AI眼镜、深股通、近期新高、中证500、蓝箭航天、银河通用、光刻机(胶)、机器视觉、历史新高 、锂电池概念、比亚迪概念、HJT电池、3D打印设备、高端装备、先进封装设备、电池设备、减速器、TOPCon电池、特斯拉概念,122.06,75.78亿,1167.78亿,机械设备-自动化设备-激光设备,9.650,122.92,112.20,6.79,1.28,6495.24万,88.74,6.0805,1256.73亿
39,601689,拓普集团,SH,66.89,3.75,13.85,9.51,80.92,1.96,否,符合,周期股、上证180_、新能源车、标准普尔、新型工业化、小米概念、创投、HS300_、大盘成长、无人驾驶、中国AI 50、富时罗素、MSCI中国、电子皮肤、机器人概念、融资融券、华为汽车、液冷概念、智能座舱、沪股通、大盘股、数据中心、线控系统、电商概念、英伟达概念、汽车一体化压铸、小米汽车、人形机器人、比亚迪概念、汽车热管理、机器人执行器、汽车电子、特斯拉概念,66.89,48.39亿,1162.44亿,汽车-汽车零部件-底盘与发动机系统,2.420,68.83,63.88,4.15,1.92,7210.31万,52.67,4.7276,1162.44亿
40,000977,浪潮信息,SZ,76.48,4.42,12.17,19.77,70.51,0.25,否,符合,国产芯片、国资云概念、数据中心液冷、东数西算、车联网(车路云)、深证100R、数字经济、元宇宙概念、水利建设、标准普尔、深成500、HS300_、大盘成长、腾讯概念、信创、算力租赁、CDU、央国企改革、百度概念、百日新高 、边缘计算、DeepSeek概念、人工智能、中国AI 50、无人驾驶、国产操作系统、富时罗素、MSCI中国、云计算、融资融券、液冷概念、腾讯系算力、深股通、算力概念、近期新高、AIGC概念、智慧城市、大盘股、网络安全、数据中心、英伟达概念、国产软件、抖音概念(字节概念)、大数据,76.48,95.51亿,1121.83亿,计算机-计算机设备-其他计算机设备,3.240,79.49,71.10,8.53,1.58,1.25亿,46.42,5.0357,1123.09亿
