序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,概念,总市值(元) 2026.04.30,ST股票,东财行业总分类,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,流通市值(元) 2026.04.30
11,000623,吉林敖东,SZ,18.87,1.07,乡村振兴、儿童用药、特色药、工业互联、长期破净、标准普尔、深成500、创投、农业种植、医药电商、中药概念、富时罗素、独家药品、2025年报预增、创新药、网红经济、医疗器械概念、融资融券、东北振兴、深股通、中证500、参股券商、肝炎概念、小盘股、三胎概念、维生素C、流感、病原体防治、小盘成长、幽门螺杆菌概念、维生素,225.67亿,否,医药生物-中药Ⅱ-中药Ⅲ,0.200,19.20,18.79,1.97,1.81,2343.33万,4.46亿,6.51,0.7166,224.74亿
12,301301,川宁生物,SZ,10.03,2.77,中盘股、合成生物、融资融券、西部大开发、乡村振兴、玉米、新疆振兴、深股通、中证500、深成500、肝炎概念、AI制药（医疗）、土地流转、农业种植、一带一路、化妆品概念、人工智能、创业板综、智能医疗、粮食概念、维生素,223.68亿,否,医药生物-化学制药-原料药,0.270,10.73,10.00,3.24,1.92,2004.37万,2.03亿,50.50,2.8647,61.96亿
13,002312,川发龙蟒,SZ,10.95,-2.14,融资融券、西部大开发、乡村振兴、化肥、化工原料、深股通、磷矿、中证500、数字乡村、深成500、农村电商、小盘股、电池技术、农业种植、磷酸铁锂、锂电池概念、央国企改革、磷化工、股权激励、小金属概念、锂矿概念,206.70亿,否,基础化工-农化制品-磷肥及磷化工,-0.240,11.23,10.87,1.88,0.74,3547.53万,3.90亿,57.01,2.1312,206.28亿
14,600057,厦门象屿,SH,7.23,-0.82,玉米、乡村振兴、农业种植、土地流转、中马经济一体化、央国企改革、DeepSeek概念、统一大市场、富时罗素、数据要素、红利股、中越经济一体化、福建自贸区、融资融券、高股息精选、上证380、沪股通、商业航天、价值股、小盘价值、小盘股、一带一路、海峡两岸、中欧经济一体化、股权激励、智能物流、冷链物流、参股银行,205.37亿,否,交通运输-物流-原材料供应链服务,-0.060,7.60,7.02,2.76,1.16,5766.80万,4.14亿,9.85,1.3027,151.29亿
15,688765,禾元生物-U,SH,55.07,3.22,中盘股、融资融券、农业种植、转基因、贬值受益、中盘成长、重组蛋白、注册制次新股、创新药、次新股,196.88亿,否,医药生物-生物制品-其他生物制品,1.720,55.29,53.08,5.76,1.09,266.43万,1.44亿,-136.54,6.8631,25.49亿
16,000902,新洋丰,SZ,15.24,-2.93,融资融券、乡村振兴、化肥、深股通、转债标的、磷矿、数字乡村、标准普尔、深成500、农村电商、小盘价值、小盘股、生态农业、氟化工概念、农业种植、磷酸铁锂、大豆、锂电池概念、磷化工、富时罗素,191.22亿,否,基础化工-农化制品-复合肥,-0.460,15.74,15.21,1.58,1.03,1799.99万,2.77亿,9.59,1.5548,174.16亿
17,002539,云图控股,SZ,15.39,-0.52,黄磷、融资融券、西部大开发、玉米、乡村振兴、化肥、深股通、磷矿、硅能源、小盘价值、小盘股、生态农业、电池技术、电子竞技、农业种植、磷酸铁锂、锂电池概念、盐湖提锂、磷化工、调味品概念、富时罗素,185.87亿,否,基础化工-农化制品-复合肥,-0.080,15.85,15.32,2.36,0.77,2101.11万,3.25亿,15.31,1.9133,136.94亿
18,600596,新安股份,SH,12.49,-1.73,2026—季报预增、共同富裕示范区、乡村振兴、玉米、化工原料、北交所概念、标准普尔、华为概念、互联网金融、农业种植、磷化工、富时罗素、黄金概念、机器人概念、融资融券、液冷概念、无人机、沪股通、硅能源、草甘膦、小盘价值、小盘股、光伏概念、新材料、人形机器人、大豆、农药兽药、锂电池概念、有机硅概念、转基因、长江三角,168.56亿,否,基础化工-农化制品-农药,-0.220,12.80,12.45,1.58,0.84,2138.83万,2.69亿,43.77,1.3428,168.56亿
19,002385,大北农,SZ,3.89,-0.51,水产概念、合成生物、乡村振兴、玉米、数字经济、北交所概念、数字乡村、宠物经济、标准普尔、深成500、农村电商、乳业、预制菜概念、生物疫苗、消毒剂、互联网金融、农业种植、京津冀一体化、DeepSeek概念、奶粉、富时罗素、猪肉概念、粮食概念、移动支付、融资融券、宠物健康、深股通、俄乌冲突概念、中证500、反内卷概念、小盘价值、小盘股、三胎概念、大豆、转基因,167.27亿,否,农林牧渔-饲料-畜禽饲料,-0.020,3.91,3.87,1.73,1.05,6097.97万,2.37亿,-23.91,2.2551,137.07亿
20,000061,农 产 品,SZ,7.38,-0.94,粤港澳大湾区、区块链、2026—季报预增、融资融券、乡村振兴、深股通、食品安全、证金持股、数字乡村、标准普尔、深圳特区、农村电商、小盘股、电商概念、深圳国企改革、农业种植、农机、央国企改革、新零售、统一大市场、富时罗素、网红经济、参股银行、冷链物流,146.49亿,否,商贸零售-一般零售-商业物业经营,-0.070,7.49,7.36,0.68,0.97,1216.91万,9013.62万,27.12,1.6949,132.42亿
21,601952,苏垦农发,SH,9.96,-1.39,融资融券、乡村振兴、玉米、上证380、沪股通、小盘价值、小盘股、农业种植、土地流转、大豆、央国企改革、富时罗素、粮食概念、啤酒概念、啤酒原材料,137.25亿,否,农林牧渔-种植业-粮食种植,-0.140,10.03,9.61,2.49,1.41,3437.32万,3.37亿,69.85,1.9381,137.25亿
22,000998,隆平高科,SZ,9.14,-0.76,融资融券、鸿蒙概念、乡村振兴、玉米、深股通、俄乌冲突概念、标准普尔、深成500、创投、小盘股、生态农业、农业种植、央国企改革、转基因、富时罗素、2025年报预增、基因测序、粮食概念,134.31亿,否,农林牧渔-种植业-种子,-0.070,9.21,9.11,1.67,0.80,2188.65万,2.00亿,-25.66,1.9824,120.14亿
23,002588,史丹利,SZ,10.94,-3.19,融资融券、乡村振兴、玉米、化肥、深股通、数字乡村、农村电商、小盘价值、小盘股、生态农业、农业种植、磷酸铁锂、锂电池概念、磷化工,126.02亿,否,基础化工-农化制品-复合肥,-0.360,11.32,10.90,2.75,0.58,2363.10万,2.61亿,9.22,1.5949,93.93亿
24,002557,洽洽食品,SZ,23.27,0.52,小盘股、电商概念、融资融券、农业种植、深股通、转债标的、2025年报预减、富时罗素、标准普尔、乳业、小盘价值,117.71亿,否,食品饮料-休闲食品-零食,0.120,23.68,23.20,2.18,0.99,1100.25万,2.58亿,17.49,2.1582,117.46亿
25,002215,诺 普 信,SZ,10.92,-0.09,粤港澳大湾区、融资融券、乡村振兴、海南自贸、数字经济、北交所概念、深股通、数字乡村、标准普尔、深圳特区、草甘膦、农村电商、小盘价值、小盘股、生态农业、电商概念、农业种植、土地流转、互联网金融、农药兽药、土壤修复、股权激励,109.71亿,否,基础化工-农化制品-农药,-0.010,11.04,10.85,2.88,1.27,2316.37万,2.53亿,3.64,2.2478,87.69亿
26,600251,冠农股份,SH,12.95,1.89,稀缺资源、融资融券、乡村振兴、西部大开发、昨日高振幅、化肥、新疆振兴、近期新高、食品安全、数字乡村、沪股通、绿色电力、农村电商、生态农业、农业种植、土地流转、一带一路、盐湖提锂、中俄贸易概念、央国企改革、百日新高 、调味品概念、2025年报预增、大数据,100.62亿,否,农林牧渔-农产品加工-果蔬加工,0.240,13.14,12.39,4.28,1.52,3324.28万,4.24亿,8.63,2.4905,100.62亿
27,002470,金正大,SZ,2.83,-3.74,乡村振兴、化肥、化工原料、北交所概念、深股通、磷矿、破发股、低价股、农村电商、生态农业、电池技术、水泥概念、农业种植、磷酸铁锂、锂电池概念、央国企改革、磷化工、土壤修复、蚂蚁概念、破增发价股,92.99亿,否,基础化工-农化制品-复合肥,-0.110,3.04,2.81,8.15,0.90,2.68亿,7.67亿,203.20,4.3618,92.99亿
28,002041,登海种业,SZ,10.24,1.39,生态农业、农业种植、融资融券、乡村振兴、玉米、深股通、转基因、俄乌冲突概念、富时罗素、2025年报预增、粮食概念,90.11亿,否,农林牧渔-种植业-种子,0.140,10.29,10.02,1.40,0.72,1229.41万,1.25亿,66.77,2.4391,90.11亿
29,603166,福达股份,SH,13.66,1.94,专精特新、融资融券、西部大开发、新能源车、沪股通、农业种植、人形机器人、农机、比亚迪概念、AI应用、2025年报预增、减速器、机器人概念,88.20亿,否,汽车-汽车零部件-底盘与发动机系统,0.260,13.72,13.40,0.92,1.28,587.98万,8015.45万,29.36,3.2261,87.52亿
30,600129,太极集团,SH,15.56,0.00,西部大开发、乡村振兴、病毒防治、AI智能体、成渝特区、仿制药一致性评价、土地流转、农业种植、医药电商、中药概念、央国企改革、百度概念、眼科医疗、超级品牌、人工智能、2025年报预增、创新药、阿里概念、融资融券、医疗器械概念、医美概念、上证380、沪股通、禽流感、养老概念、小盘价值、肝炎概念、小盘股、流感、病原体防治、减肥药、维生素,85.80亿,否,医药生物-中药Ⅱ-中药Ⅲ,0.000,15.85,15.43,1.49,1.60,822.18万,1.28亿,32.69,2.4045,85.80亿
31,600108,亚盛集团,SH,4.34,0.93,融资融券、乡村振兴、西部大开发、玉米、水利建设、沪股通、参股券商、跨境电商、农业种植、土地流转、央国企改革、代糖概念、粮食概念、啤酒概念、啤酒原材料、破增发价股,84.50亿,否,农林牧渔-种植业-其他种植业,0.040,4.38,4.27,3.14,0.86,6109.63万,2.65亿,100.40,1.9491,84.50亿
32,002042,华孚时尚,SZ,4.93,-0.80,粤港澳大湾区、东数西算、职业教育、融资融券、C2M概念、乡村振兴、2025年报扭亏、昨日高振幅、新疆振兴、深股通、算力概念、贬值受益、工业互联、绿色电力、标准普尔、新型工业化、数据中心、创投、农业种植、算力租赁、中俄贸易概念、DeepSeek概念、富时罗素、参股银行,83.84亿,否,纺织服饰-纺织制造-棉纺,-0.040,5.10,4.89,3.32,0.74,5638.02万,2.81亿,82.77,1.4189,83.84亿
33,300087,荃银高科,SZ,8.48,1.68,融资融券、玉米、乡村振兴、深股通、俄乌冲突概念、农业种植、大豆、一带一路、央国企改革、转基因、创业板综、粮食概念、破增发价股、安徽三资改革,80.33亿,否,农林牧渔-种植业-种子,0.140,8.53,8.24,1.73,0.92,1562.21万,1.32亿,176.40,4.7334,76.51亿
34,600313,农发种业,SH,7.12,-0.84,融资融券、乡村振兴、玉米、化肥、沪股通、农业种植、土地流转、大豆、一带一路、央国企改革、转基因、2025年报预增、粮食概念,77.05亿,否,农林牧渔-种植业-种子,-0.060,7.16,7.01,3.08,0.91,3336.82万,2.36亿,101.53,3.4227,77.05亿
35,301556,托普云农,SZ,84.41,-1.12,专精特新、融资融券、共同富裕示范区、乡村振兴、AI眼镜、数字经济、深股通、养老金、注册制次新股、数字乡村、AI智能体、生态农业、农业种植、农机、土壤修复、转基因、DeepSeek概念、创业板综、人工智能、物联网、传感器、机器人概念、大数据、数据要素,71.98亿,否,计算机-IT服务Ⅱ-IT服务Ⅲ,-0.960,85.26,84.35,2.88,0.40,84.80万,7180.61万,293.87,7.2720,24.88亿
36,600422,昆药集团,SH,9.50,0.00,融资融券、西部大开发、乡村振兴、证金持股、特色药、上证380、沪股通、标准普尔、养老概念、仿制药一致性评价、农业种植、医药电商、中药概念、央国企改革、工业大麻、独角兽、富时罗素、青蒿素、创新药、破增发价股,71.91亿,否,医药生物-中药Ⅱ-中药Ⅲ,0.000,9.56,9.46,1.06,0.64,803.31万,7639.69万,-12.68,1.3772,71.91亿
37,603395,红四方,SH,27.64,0.73,农业种植、融资融券、化肥、煤化工概念、央国企改革、注册制次新股、沪股通、参股银行、安徽三资改革,71.86亿,否,基础化工-农化制品-复合肥,0.200,28.21,27.60,3.82,0.96,248.43万,6906.59万,86.45,5.0377,17.97亿
38,603336,宏辉果蔬,SH,11.75,-4.08,电商概念、农业种植、中马经济一体化、乡村振兴、一带一路、昨日高振幅、央国企改革、社区团购、新零售、冷链物流、最近多板,71.52亿,否,农林牧渔-种植业-其他种植业,-0.500,12.20,11.67,6.12,0.87,3727.72万,4.42亿,594.28,4.9776,71.52亿
39,002390,信邦制药,SZ,3.37,2.12,民营医院、融资融券、医疗器械概念、西部大开发、乡村振兴、深股通、医美概念、标准普尔、肝炎概念、养老概念、创投、流感、土地流转、农业种植、医药电商、精准医疗、中药概念、独角兽、富时罗素、牙科医疗、基因测序、互联医疗、冷链物流、破增发价股,65.51亿,否,医药生物-医药商业-医药流通,0.070,3.40,3.26,2.92,1.99,5632.22万,1.88亿,33.66,0.9579,64.97亿
40,002166,莱茵生物,SZ,8.78,2.21,专精特新、味蕾经济、合成生物、融资融券、西部大开发、乡村振兴、深股通、病毒防治、贬值受益、电子烟、禽流感、电商概念、流感、农业种植、工业大麻、病原体防治、代糖概念、参股银行、啤酒概念,65.11亿,否,基础化工-化学制品-食品及饲料添加剂,0.190,8.80,8.69,1.41,1.04,1041.42万,9119.74万,38.29,2.0899,64.85亿
41,002772,众兴菌业,SZ,17.24,-0.52,农业种植、西部大开发、乡村振兴、高股息精选、2025年报预增,64.61亿,否,农林牧渔-种植业-食用菌,-0.090,17.45,16.95,2.19,0.63,813.25万,1.39亿,9.93,1.7770,64.07亿
42,002419,天虹股份,SZ,5.51,0.18,粤港澳大湾区、低空物流、鸿蒙概念、乡村振兴、新疆振兴、数字经济、标准普尔、深圳特区、预制菜概念、跨境电商、腾讯概念、农业种植、AI应用、央国企改革、DeepSeek概念、人工智能、统一大市场、富时罗素、无人零售、粮食概念、啤酒概念、内贸流通、融资融券、低空经济、深股通、无人配送、破发股、AIGC概念、绿色电力、ChatGPT概念、电商概念、新零售、白酒、智能物流、光伏建筑一体化,64.40亿,否,商贸零售-一般零售-百货,0.010,5.60,5.48,1.38,0.68,1611.99万,8920.11万,10.87,1.5552,64.40亿
43,300189,神农种业,SZ,6.11,1.50,水产概念、融资融券、合成生物、玉米、乡村振兴、2025年报扭亏、海南自贸、俄乌冲突概念、生态农业、农业种植、土地流转、转基因、创业板综、粮食概念,62.57亿,否,农林牧渔-种植业-种子,0.090,6.18,6.01,5.82,0.76,5156.19万,3.15亿,-240.73,9.0901,54.15亿
44,600300,维维股份,SH,3.74,5.35,乡村振兴、数字经济、沪股通、乳业、价值股、创投、生态农业、电商概念、饮料制造、农业种植、大豆、央国企改革、白酒、婴童概念、粮食概念、长江三角、参股银行,60.48亿,否,食品饮料-饮料乳品-软饮料,0.190,3.80,3.63,6.73,4.20,1.09亿,4.06亿,17.97,1.6315,60.48亿
45,002556,辉隆股份,SZ,6.33,0.32,乡村振兴、玉米、化肥、数字乡村、农村电商、创投、民爆概念、农业种植、土地流转、互联网金融、供销社概念、磷化工、统一大市场、建筑节能、富时罗素、粮食概念、毛发医疗、内贸流通、融资融券、深股通、装配建筑、医美概念、磷矿、高股息精选、染料、维生素E、光伏概念、电商概念、煤化工概念、生物质能发电、维生素,59.91亿,否,农林牧渔-农业综合Ⅱ-农业综合Ⅲ,0.020,6.44,6.16,2.75,0.81,2597.75万,1.64亿,27.95,1.6385,59.86亿
46,300158,振东制药,SZ,5.72,-0.35,融资融券、乡村振兴、深股通、病毒防治、医美概念、特色药、破发股、新消费、肝炎概念、仿制药一致性评价、农业种植、土地流转、流感、医药电商、中药概念、创业板综、独家药品、创新药、毛发医疗、维生素,56.76亿,否,医药生物-中药Ⅱ-中药Ⅲ,-0.020,5.81,5.70,1.30,0.89,1284.89万,7385.23万,-1356.71,1.6954,56.71亿
47,002582,好想你,SZ,12.55,0.88,职业教育、两岸合作、乡村振兴、昨日高振幅、新疆振兴、预制菜概念、特色小镇、昨日高换手、创投、跨境电商、农业种植、人造肉、富时罗素、网红经济、啤酒概念、2025年报扭亏、高股息精选、旅游概念、快手概念、生态农业、电商概念、海峡两岸、谷子经济、智能物流、参股银行,56.19亿,否,食品饮料-休闲食品-零食,0.110,12.94,12.42,15.75,1.43,5422.23万,6.85亿,1.26,1.0988,43.20亿
48,300138,晨光生物,SZ,11.53,-1.37,2025三季报预增、味蕾经济、农业种植、乡村振兴、一带一路、工业大麻、深股通、调味品概念、创业板综、2025年报预增、代糖概念、NMN概念,55.70亿,否,农林牧渔-农产品加工-其他农产品加工,-0.160,11.73,11.49,1.39,0.93,554.96万,6439.85万,14.40,1.6043,45.93亿
49,600479,千金药业,SH,11.01,-0.54,数字经济、高股息精选、养老金、工业互联、肝炎概念、电商概念、三胎概念、仿制药一致性评价、流感、婴童用品、农业种植、医药电商、中药概念、央国企改革、病原体防治、DeepSeek概念、人工智能、创新药、网红经济、婴童概念,54.19亿,否,医药生物-中药Ⅱ-中药Ⅲ,-0.060,11.17,10.93,3.69,1.72,1542.32万,1.70亿,18.06,1.7463,46.08亿
50,002616,长青集团,SZ,6.09,2.53,固废处理、粤港澳大湾区、2025三季报预增、雄安新区、农业种植、新能源发电、绿色电力、生物质能发电、节能环保、碳交易、新能源,52.29亿,否,公用事业-电力-其他能源发电,0.150,6.11,5.98,3.92,1.38,2303.25万,1.40亿,13.15,1.4922,35.74亿
51,000713,国投丰乐,SZ,6.50,-2.69,融资融券、乡村振兴、玉米、化肥、俄乌冲突概念、草甘膦、农村电商、农业种植、央国企改革、磷化工、转基因、粮食概念、安徽三资改革,51.88亿,否,农林牧渔-种植业-种子,-0.180,6.57,6.37,2.65,1.48,1626.64万,1.05亿,-77.43,1.6588,39.91亿
52,300511,雪榕生物,SZ,8.03,-2.55,细胞免疫治疗、味蕾经济、农业种植、长寿药、乡村振兴、2025年报扭亏、一带一路、昨日高振幅、创业板综、股权激励、人造肉、NMN概念,51.46亿,否,农林牧渔-种植业-食用菌,-0.210,8.23,7.90,9.75,0.86,5323.56万,4.28亿,7.43,2.8846,43.84亿
53,300197,节能铁汉,SZ,1.69,1.81,粤港澳大湾区、PPP模式、乡村振兴、垃圾分类、水利建设、长期破净、深圳特区、节能环保、污水处理、农业种植、央国企改革、新型城镇化、雄安新区、融资融券、深股通、充电桩、破发股、低价股、旅游概念、智慧城市、一带一路、土壤修复、转基因、创业板综、海绵城市、中欧经济一体化、碳中和、地下管网,50.11亿,否,建筑装饰-基础建设-园林工程,0.030,1.69,1.62,2.50,1.22,7412.17万,1.23亿,-10.32,-13.9183,50.11亿
54,600351,亚宝药业,SH,7.08,2.31,融资融券、近期新高、儿童用药、沪股通、价值股、三胎概念、仿制药一致性评价、流感、农业种植、医药电商、中药概念、百日新高 、病原体防治、重组蛋白、创新药、婴童概念、幽门螺杆菌概念、维生素,48.99亿,否,医药生物-中药Ⅱ-中药Ⅲ,0.160,7.10,6.85,5.11,1.31,3537.56万,2.49亿,11.48,1.7176,48.99亿
55,002589,瑞康医药,SZ,3.18,-2.15,内贸流通、区块链、医疗器械概念、融资融券、体外诊断概念、标准普尔、养老概念、华为概念、精准诊断、农业种植、医药电商、中药概念、AI应用、人工智能、统一大市场、富时罗素、牙科医疗、智能医疗、创新药、互联医疗、冷链物流,47.85亿,否,医药生物-医药商业-医药流通,-0.070,3.25,3.16,3.61,0.87,4933.31万,1.58亿,115.33,0.9001,43.43亿
56,002758,浙农股份,SZ,9.16,-1.72,内贸流通、共同富裕示范区、乡村振兴、化肥、数字经济、深股通、无人机、俄乌冲突概念、数字乡村、农村电商、价值股、生态农业、农业种植、供销社概念、农机、医药电商、中俄贸易概念、中药概念、土壤修复、粮食概念、冷链物流,47.52亿,否,综合-综合Ⅱ-综合Ⅲ,-0.160,9.42,9.12,2.32,0.88,1202.51万,1.11亿,21.94,0.9145,47.47亿
57,000626,远大控股,SZ,9.35,1.63,生态农业、跨境电商、内贸流通、2026—季报预增、农业种植、乡村振兴、统一大市场、长江三角、粮食概念、参股银行,47.37亿,否,交通运输-物流-原材料供应链服务,0.150,9.60,9.16,5.20,0.81,2618.44万,2.47亿,20.28,2.1571,47.10亿
58,300858,科拓生物,SZ,17.85,-2.41,三胎概念、农业种植、京津冀一体化、土壤修复、病原体防治、医美概念、创业板综、养老金、创新药、宠物经济、幽门螺杆菌概念、乳业,47.03亿,否,基础化工-化学制品-食品及饲料添加剂,-0.440,18.30,17.82,8.26,0.49,1616.19万,2.91亿,78.65,2.5317,34.94亿
59,300021,大禹节水,SZ,4.51,0.45,鸿蒙概念、PPP模式、乡村振兴、西部大开发、数字经济、新疆振兴、水利建设、数字乡村、雅下水电概念、节能环保、华为概念、污水处理、农业种植、土地流转、京津冀一体化、AI应用、DeepSeek概念、人工智能、物联网、粮食概念、机器人概念、化债(AMC)概念、破增发价股、云计算、新型城镇化、智慧政务、数据安全、数字孪生、雄安新区、智慧城市、生态农业、电商概念、国产软件、一带一路、土壤修复、创业板综、股权激励、地下管网、大数据、光伏建筑一体化,46.11亿,否,农林牧渔-农业综合Ⅱ-农业综合Ⅲ,0.020,4.54,4.45,1.88,1.01,1646.14万,7413.30万,117.90,1.7580,39.39亿
60,300970,华绿生物,SZ,35.30,-2.75,农业种植、合成生物、融资融券、乡村振兴、2025年报扭亏、创业板综,43.28亿,否,农林牧渔-种植业-食用菌,-1.000,36.75,34.79,14.76,0.63,1398.94万,4.94亿,9.85,2.4805,33.45亿
61,002644,佛慈制药,SZ,8.39,2.07,医疗器械概念、西部大开发、儿童用药、肝炎概念、消毒剂、三胎概念、农业种植、流感、医药电商、一带一路、中药概念、央国企改革、病原体防治,42.84亿,否,医药生物-中药Ⅱ-中药Ⅲ,0.170,8.47,8.28,1.12,1.38,572.65万,4804.51万,47.27,2.3218,42.84亿
62,000850,华茂股份,SZ,4.54,-1.09,金属铜、融资融券、数字经济、参股保险、参股券商、IPO受益、创投、电商概念、金属锌、农业种植、土地流转、央国企改革、金属铅、小金属概念、冷链物流、参股银行、安徽三资改革,42.84亿,否,纺织服饰-纺织制造-棉纺,-0.050,4.65,4.52,0.97,0.62,918.58万,4198.35万,-5.43,0.9569,42.83亿
63,605138,盛泰集团,SH,7.70,2.39,农业种植、乡村振兴、一带一路、服装、转债标的、贬值受益、破发股、2025年报预减,42.78亿,否,纺织服饰-服装家纺-非运动服装,0.180,7.78,7.49,2.94,1.13,1631.29万,1.26亿,6.47,1.7051,42.78亿
64,300908,仲景食品,SZ,28.70,-0.55,电商概念、味蕾经济、农业种植、融资融券、两岸合作、乡村振兴、社区团购、调味品概念、海峡两岸、创业板综、新零售、网红经济,41.90亿,否,食品饮料-调味发酵品Ⅱ-调味发酵品Ⅲ,-0.160,29.04,28.61,1.14,1.03,140.38万,4041.53万,19.50,2.2626,35.42亿
65,300829,金丹科技,SZ,17.39,-1.64,味蕾经济、农业种植、新材料、土地流转、玉米、乡村振兴、创业板综、2025年报预增、参股银行、降解塑料、预制菜概念,39.52亿,否,基础化工-化学制品-食品及饲料添加剂,-0.290,17.78,17.35,2.89,0.66,453.72万,7950.67万,33.25,1.6202,27.26亿
