序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,概念,总市值(元) 2026.04.30,ST股票,东财行业总分类,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,流通市值(元) 2026.04.30
11,600108,亚盛集团,SH,4.34,0.93,融资融券、乡村振兴、西部大开发、玉米、水利建设、沪股通、参股券商、跨境电商、农业种植、土地流转、央国企改革、代糖概念、粮食概念、啤酒概念、啤酒原材料、破增发价股,84.50亿,否,农林牧渔-种植业-其他种植业,0.040,4.38,4.27,3.14,0.86,6109.63万,2.65亿,100.40,1.9491,84.50亿
12,300087,荃银高科,SZ,8.48,1.68,融资融券、玉米、乡村振兴、深股通、俄乌冲突概念、农业种植、大豆、一带一路、央国企改革、转基因、创业板综、粮食概念、破增发价股、安徽三资改革,80.33亿,否,农林牧渔-种植业-种子,0.140,8.53,8.24,1.73,0.92,1562.21万,1.32亿,176.40,4.7334,76.51亿
13,600313,农发种业,SH,7.12,-0.84,融资融券、乡村振兴、玉米、化肥、沪股通、农业种植、土地流转、大豆、一带一路、央国企改革、转基因、2025年报预增、粮食概念,77.05亿,否,农林牧渔-种植业-种子,-0.060,7.16,7.01,3.08,0.91,3336.82万,2.36亿,101.53,3.4227,77.05亿
14,001338,永顺泰,SZ,13.27,4.24,粤港澳大湾区、乡村振兴、央国企改革、深股通、粮食概念、啤酒概念、啤酒原材料,66.58亿,否,农林牧渔-农产品加工-其他农产品加工,0.540,13.65,12.67,3.72,1.76,1868.43万,2.48亿,50.12,1.7806,66.58亿
15,002419,天虹股份,SZ,5.51,0.18,粤港澳大湾区、低空物流、鸿蒙概念、乡村振兴、新疆振兴、数字经济、标准普尔、深圳特区、预制菜概念、跨境电商、腾讯概念、农业种植、AI应用、央国企改革、DeepSeek概念、人工智能、统一大市场、富时罗素、无人零售、粮食概念、啤酒概念、内贸流通、融资融券、低空经济、深股通、无人配送、破发股、AIGC概念、绿色电力、ChatGPT概念、电商概念、新零售、白酒、智能物流、光伏建筑一体化,64.40亿,否,商贸零售-一般零售-百货,0.010,5.60,5.48,1.38,0.68,1611.99万,8920.11万,10.87,1.5552,64.40亿
16,300189,神农种业,SZ,6.11,1.50,水产概念、融资融券、合成生物、玉米、乡村振兴、2025年报扭亏、海南自贸、俄乌冲突概念、生态农业、农业种植、土地流转、转基因、创业板综、粮食概念,62.57亿,否,农林牧渔-种植业-种子,0.090,6.18,6.01,5.82,0.76,5156.19万,3.15亿,-240.73,9.0901,54.15亿
17,600191,华资实业,SH,12.70,-3.05,西部大开发、2025年报预增、代糖概念、粮食概念、参股券商、参股银行,61.59亿,否,农林牧渔-农产品加工-其他农产品加工,-0.400,13.05,12.66,2.99,1.20,1447.79万,1.86亿,75.08,3.5858,61.59亿
18,600300,维维股份,SH,3.74,5.35,乡村振兴、数字经济、沪股通、乳业、价值股、创投、生态农业、电商概念、饮料制造、农业种植、大豆、央国企改革、白酒、婴童概念、粮食概念、长江三角、参股银行,60.48亿,否,食品饮料-饮料乳品-软饮料,0.190,3.80,3.63,6.73,4.20,1.09亿,4.06亿,17.97,1.6315,60.48亿
19,002556,辉隆股份,SZ,6.33,0.32,乡村振兴、玉米、化肥、数字乡村、农村电商、创投、民爆概念、农业种植、土地流转、互联网金融、供销社概念、磷化工、统一大市场、建筑节能、富时罗素、粮食概念、毛发医疗、内贸流通、融资融券、深股通、装配建筑、医美概念、磷矿、高股息精选、染料、维生素E、光伏概念、电商概念、煤化工概念、生物质能发电、维生素,59.91亿,否,农林牧渔-农业综合Ⅱ-农业综合Ⅲ,0.020,6.44,6.16,2.75,0.81,2597.75万,1.64亿,27.95,1.6385,59.86亿
20,000713,国投丰乐,SZ,6.50,-2.69,融资融券、乡村振兴、玉米、化肥、俄乌冲突概念、草甘膦、农村电商、农业种植、央国企改革、磷化工、转基因、粮食概念、安徽三资改革,51.88亿,否,农林牧渔-种植业-种子,-0.180,6.57,6.37,2.65,1.48,1626.64万,1.05亿,-77.43,1.6588,39.91亿
21,301058,中粮科工,SZ,9.74,-0.31,融资融券、乡村振兴、深股通、食品安全、体育产业、工程建设、冰雪经济、大豆、农机、一带一路、央国企改革、中俄贸易概念、创业板综、高端装备、中欧经济一体化、中字头、粮食概念、冷链物流、机器人概念,49.90亿,否,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,-0.030,9.81,9.68,0.87,0.72,444.59万,4329.50万,33.57,2.1320,49.90亿
22,000505,京粮控股,SZ,6.61,2.96,生态农业、AB股、融资融券、京津冀一体化、一带一路、海南自贸、央国企改革、调味品概念、转基因、新零售、网红经济、粮食概念,48.05亿,否,农林牧渔-农产品加工-粮油加工,0.190,6.69,6.49,2.52,1.67,1595.36万,1.06亿,147.61,1.6737,41.80亿
23,002758,浙农股份,SZ,9.16,-1.72,内贸流通、共同富裕示范区、乡村振兴、化肥、数字经济、深股通、无人机、俄乌冲突概念、数字乡村、农村电商、价值股、生态农业、农业种植、供销社概念、农机、医药电商、中俄贸易概念、中药概念、土壤修复、粮食概念、冷链物流,47.52亿,否,综合-综合Ⅱ-综合Ⅲ,-0.160,9.42,9.12,2.32,0.88,1202.51万,1.11亿,21.94,0.9145,47.47亿
24,000626,远大控股,SZ,9.35,1.63,生态农业、跨境电商、内贸流通、2026—季报预增、农业种植、乡村振兴、统一大市场、长江三角、粮食概念、参股银行,47.37亿,否,交通运输-物流-原材料供应链服务,0.150,9.60,9.16,5.20,0.81,2618.44万,2.47亿,20.28,2.1571,47.10亿
25,002688,金河生物,SZ,6.02,0.00,合成生物、西部大开发、玉米、深股通、2025年报预减、新消费、宠物经济、节能环保、禽流感、生物疫苗、污水处理、农药兽药、人工智能、代糖概念、粮食概念,46.32亿,否,农林牧渔-动物保健Ⅱ-动物保健Ⅲ,0.000,6.04,5.97,1.41,1.08,1051.33万,6325.32万,18.59,2.0273,45.00亿
26,300021,大禹节水,SZ,4.51,0.45,鸿蒙概念、PPP模式、乡村振兴、西部大开发、数字经济、新疆振兴、水利建设、数字乡村、雅下水电概念、节能环保、华为概念、污水处理、农业种植、土地流转、京津冀一体化、AI应用、DeepSeek概念、人工智能、物联网、粮食概念、机器人概念、化债(AMC)概念、破增发价股、云计算、新型城镇化、智慧政务、数据安全、数字孪生、雄安新区、智慧城市、生态农业、电商概念、国产软件、一带一路、土壤修复、创业板综、股权激励、地下管网、大数据、光伏建筑一体化,46.11亿,否,农林牧渔-农业综合Ⅱ-农业综合Ⅲ,0.020,4.54,4.45,1.88,1.01,1646.14万,7413.30万,117.90,1.7580,39.39亿
27,600127,金健米业,SH,6.81,-0.73,融资融券、乡村振兴、玉米、俄乌冲突概念、沪股通、乳业、预制菜概念、养老概念、电商概念、央国企改革、微利股、新零售、粮食概念,43.71亿,否,农林牧渔-农产品加工-粮油加工,-0.050,6.85,6.74,2.93,0.85,1877.74万,1.28亿,6242.76,6.5096,43.71亿
28,600785,新华百货,SH,17.36,-1.87,内贸流通、西部大开发、昨日高振幅、新零售、抖音概念(字节概念)、统一大市场、谷子经济、智能物流、粮食概念,39.17亿,否,商贸零售-一般零售-多业态零售,-0.330,17.90,17.25,3.27,0.98,738.10万,1.29亿,15.06,1.6961,39.17亿
29,002646,天佑德酒,SZ,8.09,-0.61,味蕾经济、融资融券、三线酒企、乡村振兴、西部大开发、深股通、破发股、2025年报预减、AI智能体、电商概念、酿酒概念、虚拟数字人、白酒、谷子经济、粮食概念、破增发价股,38.76亿,否,食品饮料-白酒Ⅱ-白酒Ⅲ,-0.050,8.19,8.08,0.86,0.65,410.91万,3339.74万,19.99,1.3446,38.50亿
30,000716,黑芝麻,SZ,5.14,-0.77,融资融券、乡村振兴、西部大开发、PPP模式、昨日高振幅、深股通、昨日首板、新能源车、养老概念、最近多板、电商概念、跨境电商、储能概念、农业种植、一带一路、锂电池概念、央国企改革、网红经济、粮食概念,38.70亿,否,食品饮料-休闲食品-零食,-0.040,5.28,5.08,6.46,2.10,4775.21万,2.46亿,29.41,1.5301,37.97亿
31,600354,敦煌种业,SH,6.26,1.79,融资融券、乡村振兴、西部大开发、玉米、参股券商、生态农业、股权转让、农业种植、供销社概念、一带一路、央国企改革、转基因、粮食概念,33.04亿,否,农林牧渔-种植业-种子,0.110,6.27,6.15,4.41,1.37,2328.06万,1.45亿,17.48,4.4144,33.04亿
32,603231,索宝蛋白,SH,17.09,-4.42,味蕾经济、融资融券、大豆、破发股、人造肉、新消费、2025年报预增、宠物经济、粮食概念,32.72亿,否,农林牧渔-农产品加工-粮油加工,-0.790,17.69,17.06,4.71,2.14,500.35万,8599.87万,25.74,1.6158,18.16亿
33,600540,新赛股份,SH,5.58,10.06,农业种植、土地流转、西部大开发、乡村振兴、新疆振兴、央国企改革、建筑节能、统一大市场、粮食概念、风能、冷链物流、新能源,32.44亿,否,农林牧渔-种植业-其他种植业,0.510,5.58,5.21,8.10,2.54,4710.92万,2.60亿,19.39,8.4304,32.44亿
34,600965,福成股份,SH,-,-,融资融券、玉米、乡村振兴、标准普尔、乳业、预制菜概念、生态农业、京津冀、农业种植、土地流转、京津冀一体化、土壤修复、网红经济、粮食概念、冷链物流,31.19亿,否,农林牧渔-养殖业-其他养殖,-,-,-,-,-,-,-,36.26,1.4338,31.19亿
