序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,证券类型,低位 2026.04.30,个股题材,申万行业分类,主力净额合计 2026.04.28 - 2026.04.30,东财行业总分类,概念,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,流通市值(元) 2026.04.30
11,000002,万  科Ａ,SZ,3.91,1.03,A股,符合,物业管理、广东自贸、经济工作会议、海南自贸、装配建筑、区域经济、房地产开发、深圳特区、养老概念、三胎概念、供给侧改革、租售同权、智能家居、静安区概念、服务消费、智能科技、猪肉概念、钢材、房地产供改、REITs概念、新型城镇化,房地产-房地产开发-住宅开发,1.25亿,房地产-房地产开发-住宅开发,粤港澳大湾区、周期股、深证100R、证金持股、长期破净、标准普尔、深圳特区、深成500、HS300_、智能家居、租售同权、超级品牌、央视50_、富时罗素、MSCI中国、机器人概念、空间计算、融资融券、深股通、装配建筑、体育产业、大盘股、养老概念、冰雪经济、大盘价值、智能物流、冷链物流、REITs概念,0.040,3.95,3.83,1.71,1.62,1.66亿,6.48亿,-1.96,0.4220,466.49亿,379.93亿
12,603131,上海沪工,SH,22.52,10.01,A股,符合,军工、长征十二号甲、火箭发射、深海经济、海工装备、军工装备、卫星通信、天基互联、智能制造、深空经济概念、沿海排头兵、商业航天、朱雀3号、军民融合、火箭回收、卫星导航、一带一路、航天概念、朱雀三号、制造业、机器人概念、卫星互联网,机械设备-通用设备-其他通用设备,1.20亿,机械设备-通用设备-其他通用设备,军工、专精特新、工业母机、海工装备、昨日高振幅、昨日首板、贬值受益、新能源车、商业航天、沪股通、新型工业化、军民融合、最近多板、东方财富热股、卫星导航、一带一路、高端装备、长江三角、机器人概念、卫星互联网,2.050,22.52,20.43,4.40,1.92,1483.14万,3.24亿,161.17,4.5950,75.87亿,75.87亿
13,002400,省广集团,SZ,8.96,5.66,A股,符合,网红直播、抖音豆包、广东自贸、区块链、字节概念、体育产业、AIGC概念、文化传媒、区域经济、快手概念、短剧概念、AI营销、数据中心、小红书概念、创投、腾讯概念、谷歌概念、AI应用、腾讯云、腾讯元宝、人工智能、阿里巴巴概念、大数据、云计算,传媒-广告营销-营销代理,1.17亿,传媒-广告营销-营销代理,国资云概念、粤港澳大湾区、区块链、职业教育、昨日高振幅、元宇宙概念、参股新三板、短剧互动游戏、AI营销、小红书概念、长安汽车概念、创投、跨境电商、腾讯概念、AI应用、央国企改革、百度概念、DeepSeek概念、横琴新区、人工智能、富时罗素、网红经济、阿里概念、云计算、破增发价股、数据要素、融资融券、深股通、AIGC概念、体育产业、快手概念、数据中心、小盘股、抖音概念(字节概念)、小盘成长、谷子经济、大数据,0.480,9.18,8.41,9.00,1.88,1.55亿,13.70亿,255.09,3.1168,156.20亿,154.66亿
14,300803,指南针,SZ,98.39,1.08,A股,符合,多元金融、低空经济、券商、ai应用、算力概念、ChatGPT概念、AI智能体、国产软件、软件服务、manus、DeepSeek概念、国产操作系统、人工智能、稳定币概念、大数据,计算机-软件开发-垂直应用软件,1.05亿,计算机-软件开发-垂直应用软件,融资融券、鸿蒙概念、深股通、券商概念、深成500、参股券商、大盘股、HS300_、大盘成长、国产软件、互联网金融、AI应用、人工智能、创业板综、富时罗素、MSCI中国,1.050,100.99,96.69,3.11,1.33,1883.95万,18.64亿,134.87,20.9372,599.97亿,595.59亿
15,002027,分众传媒,SZ,6.29,-2.02,A股,符合,网红直播、广东自贸、manus、ai应用、外卖补贴概念、人工智能、文化传媒、AIGC概念、区域经济、阿里巴巴概念、大数据、米哈游,传媒-广告营销-广告媒体,1.05亿,传媒-广告营销-广告媒体,融资融券、深证100R、行业龙头、深股通、高股息精选、体育产业、标准普尔、深成500、大盘股、价值股、电子竞技、HS300_、DeepSeek概念、大盘价值、富时罗素、MSCI中国、文娱消费、阿里概念、大数据,-0.130,6.43,6.27,0.98,0.97,1.42亿,9.00亿,12.69,5.8814,908.41亿,908.41亿
16,688278,特宝生物,SH,58.25,-1.85,A股,符合,科创板成分股、ai应用、创新药、肝炎概念,医药生物-生物制品-其他生物制品,1.03亿,医药生物-生物制品-其他生物制品,福建自贸区、中盘股、融资融券、免疫治疗、中盘成长、上证380、中证500、沪股通、绿色电力、肝炎概念、科创板做市股、病原体防治、独家药品、创新药,-1.100,59.22,57.01,1.23,1.23,501.04万,2.90亿,36.14,6.5495,237.77亿,237.77亿
17,300459,汤姆猫,SZ,4.22,1.20,A股,符合,抖音豆包、手游、区块链、多模态AI、字节概念、ai应用、元宇宙概念、宠物经济、AI智能体、华为概念、小红书概念、液冷服务器、rokid、manus、AI应用、在线教育、DeepSeek概念、阶跃星辰、端侧、人工智能、游戏、婴童概念、云游戏、脑机接口、网红直播、敦煌网、人脑工程、智慧教育、托育服务、快手概念、ChatGPT概念、数据中心、谷歌概念、NFT概念、VR&AR、谷子经济、智谱AI、阿里巴巴概念、育儿概念、大数据,传媒-游戏Ⅱ-游戏Ⅲ,1.02亿,传媒-游戏Ⅱ-游戏Ⅲ,区块链、多模态AI、鸿蒙概念、贬值受益、网络游戏、深成500、腾讯概念、AI应用、AI制图、富时罗素、婴童概念、阿里概念、云游戏、机器人概念、融资融券、人脑工程、液冷概念、AIGC概念、托育服务、ChatGPT概念、知识产权、小盘价值、数据中心、三胎概念、NFT概念、语音技术、谷子经济、智能医疗、大数据、儿童玩具、东数西算、元宇宙概念、华为概念、小红书概念、脑机设备、AI游戏、DeepSeek概念、在线教育、人工智能、手机游戏、混合现实、网红经济、脑机接口、深股通、虚拟现实、快手概念、小盘股、一带一路、创业板综、中欧经济一体化、抖音概念(字节概念),0.050,4.28,4.12,4.73,1.41,1.56亿,6.55亿,120.63,20.1548,148.37亿,138.72亿
18,002719,ST麦趣,SZ,7.66,-4.84,A股,符合,食品饮料、大消费、婴儿奶粉、西部大开发、休闲食品、新疆自贸、新零售、区域经济、无人零售、婴童概念、育儿概念、乳业,食品饮料-休闲食品-烘焙食品,1.00亿,食品饮料-休闲食品-烘焙食品,西部大开发、新疆振兴、新零售、破发股、婴童概念、乳业,-0.390,7.73,7.65,32.73,10.00,5297.83万,4.05亿,-25.30,12.2312,13.34亿,12.40亿
19,300255,常山药业,SZ,41.36,0.34,A股,符合,雄安新区、麦角硫因、化妆品概念、医疗美容、减肥药、创新药、肝素概念,医药生物-化学制药-化学制剂,9864.61万,医药生物-化学制药-化学制剂,中盘股、雄安新区、融资融券、深股通、医美概念、零售概念、特色药、中盘成长、新消费、深成500、肝素概念、化妆品概念、创业板综、减肥药、创新药、MSCI中国,0.140,43.80,41.12,2.06,1.18,1890.44万,7.97亿,1618.64,31.4113,380.12亿,379.53亿
20,688201,ST信安,SH,7.87,-13.42,A股,符合,数据安全、低空经济、车联网(车路云)、科创板成分股、烟草、数字货币、量子计算、网络安全、数据要素概念、华为鸿蒙、数码、跨境支付、稳定币概念,计算机-软件开发-横向通用软件,9555.75万,计算机-软件开发-横向通用软件,系统服务、专精特新、区块链、车联网(车路云)、鸿蒙概念、工业互联、AI智能体、信创、华为昇腾、DeepSeek概念、人工智能、量子科技、华为鲲鹏、破增发价股、数据安全、军工信息化、低空经济、融资融券、2025年报扭亏、数字货币、破发股、AIGC概念、网络安全、电子身份证、跨境支付,-1.220,8.31,7.82,16.48,5.45,4985.63万,3.98亿,-43.50,1.9256,24.96亿,23.81亿
21,000826,*ST启环,SZ,1.96,1.55,A股,符合,-,环保-环境治理-综合环境治理,8393.14万,环保-环境治理-综合环境治理,医废处理、多模态AI、车联网(车路云)、PPP模式、乡村振兴、新疆振兴、数字经济、新能源车、垃圾分类、长期破净、标准普尔、节能环保、电池技术、污水处理、固废处理、汽车拆解、人工智能、无人驾驶、富时罗素、动力电池回收、新型城镇化、雄安新区、融资融券、低价股、绿色电力、智慧城市、碳交易、锂电池概念、土壤修复、碳中和、生物质能发电、地下管网、湖北自贸,0.030,2.01,1.83,10.68,3.12,1.52亿,2.85亿,-3.85,-1.1169,27.94亿,27.93亿
22,600730,*ST高科,SH,8.97,5.04,A股,符合,DeepSeek概念、人工智能,社会服务-教育-培训教育,8320.80万,社会服务-教育-培训教育,职业教育、融资融券、AI教育、沪股通、参股券商、最近多板、创投、信创、AI应用、央国企改革、在线教育、DeepSeek概念、人工智能、长江三角、AI办公、化债(AMC)概念,0.430,8.97,8.97,0.30,0.07,178.48万,1600.97万,-682.72,3.1374,52.62亿,52.62亿
23,600057,厦门象屿,SH,7.23,-0.82,A股,符合,海西自贸、ai应用、数智、金砖国家、区域经济、物流行业、生意社、关税、供给侧改革、农业种植、农业供改、一带一路、海峡两岸、冷链物流、数据要素,交通运输-物流-原材料供应链服务,7708.95万,交通运输-物流-原材料供应链服务,乡村振兴、玉米、昨日高振幅、农业种植、土地流转、中马经济一体化、央国企改革、DeepSeek概念、统一大市场、富时罗素、数据要素、红利股、中越经济一体化、福建自贸区、融资融券、高股息精选、上证380、沪股通、商业航天、价值股、小盘价值、小盘股、一带一路、海峡两岸、中欧经济一体化、股权激励、智能物流、冷链物流、参股银行,-0.060,7.60,7.02,2.76,1.16,5766.80万,4.14亿,9.85,1.3027,205.37亿,151.29亿
24,600436,片仔癀,SH,143.55,3.04,A股,符合,大消费、分拆预期、化妆品概念、医疗健康、海峡两岸、人工智能、医保目录、医药、传统中药,医药生物-中药Ⅱ-中药Ⅲ,7361.23万,医药生物-中药Ⅱ-中药Ⅲ,专精特新、融资融券、行业龙头、上证180_、证金持股、沪股通、标准普尔、大盘股、肝炎概念、HS300_、中药概念、化妆品概念、央国企改革、茅指数、海峡两岸、超级品牌、富时罗素、创新药、MSCI中国,4.230,146.97,139.60,1.32,3.11,795.33万,11.47亿,29.12,5.6931,866.06亿,866.06亿
25,600639,浦东金桥,SH,10.32,-5.84,A股,符合,创投、供给侧改革、设备更新、破净高股息、容积率、科创板概念、区域经济、房地产开发、房地产供改、上海自贸,房地产-房地产开发-产业地产,7272.55万,房地产-房地产开发-产业地产,AB股、融资融券、上证380、沪股通、长期破净、标准普尔、参股券商、小盘价值、创投、小盘股、央国企改革、富时罗素、长江三角、上海自贸、破增发价股,-0.640,10.89,10.25,3.43,3.80,2916.61万,3.03亿,40.07,0.7691,115.83亿,87.74亿
26,002634,*ST棒杰,SZ,5.31,4.94,A股,符合,蚂蚁金服、人工智能,纺织服饰-服装家纺-非运动服装,7159.38万,纺织服饰-服装家纺-非运动服装,光伏概念、互联网金融、服装、石墨烯、长期破净、TOPCon电池、新能源、TOPCON电池、最近多板,0.250,5.31,5.06,5.24,0.57,2317.17万,1.22亿,-10.85,-3.1348,24.39亿,23.48亿
27,002244,滨江集团,SZ,9.55,1.60,A股,符合,固态电池、供给侧改革、租售同权、静安区概念、房地产开发、养老概念、房地产供改、新型城镇化,房地产-房地产开发-住宅开发,6501.72万,房地产-房地产开发-住宅开发,中盘价值、中盘股、融资融券、共同富裕示范区、乡村振兴、昨日高振幅、深股通、证金持股、中证500、旅游概念、标准普尔、深成500、养老概念、特色小镇、电池技术、固态电池、租售同权、海峡两岸、富时罗素、MSCI中国、长江三角,0.150,9.77,9.18,1.58,1.19,4367.68万,4.18亿,9.16,0.9812,297.14亿,263.35亿
28,600039,四川路桥,SH,8.19,-6.29,A股,符合,锂动力电池、深海经济、低空经济、西部大开发、碳交易、生意社、工程建设、反内卷概念、锂电池、建筑业、PPP、成渝特区、关税、一带一路、磷化工、雅下水电、西南经济区,建筑装饰-基础建设-基建市政工程,6439.71万,建筑装饰-基础建设-基建市政工程,PPP模式、西部大开发、昨日高振幅、上证180_、举牌、雅下水电概念、标准普尔、工程建设、电池技术、HS300_、成渝特区、央国企改革、磷化工、富时罗素、MSCI中国、红利股、金属铜、融资融券、高股息精选、沪股通、大盘股、碳交易、一带一路、锂电池概念、大盘价值、碳中和,-0.550,8.69,8.10,0.77,1.77,6735.15万,5.55亿,11.91,1.3457,712.17亿,712.17亿
29,002847,盐津铺子,SZ,58.72,-1.51,A股,符合,电商概念、电子商务概念、食品饮料、东盟自贸区概念、大消费、内循环、休闲食品、代工,食品饮料-休闲食品-零食,6206.60万,食品饮料-休闲食品-零食,小盘股、电商概念、融资融券、深股通、股权激励、富时罗素、深成500、最近多板,-0.900,61.20,58.57,2.40,1.78,585.02万,3.47亿,17.35,7.3793,160.14亿,143.18亿
30,301061,匠心家居,SZ,62.20,-4.28,A股,符合,关税、供给侧改革、贸易战、家电行业、大消费、智能家居、人工智能,轻工制造-家居用品-成品家居,5823.93万,轻工制造-家居用品-成品家居,小盘股、中越经济一体化、融资融券、一带一路、智能家居、深股通、贬值受益、创业板综、养老概念,-2.780,63.25,61.85,2.57,1.14,373.57万,2.33亿,20.44,3.1205,136.07亿,90.40亿
31,600119,*ST长投,SH,6.15,3.89,A股,符合,-,交通运输-物流-跨境物流,5759.80万,交通运输-物流-跨境物流,金属铜、昨日触板、跨境电商、自由贸易港、卫星导航、一带一路、央国企改革、租售同权、昨日炸板、统一大市场、长江三角、沪企改革、快递概念、上海自贸,0.230,6.22,5.92,3.95,1.00,1441.54万,8848.14万,-207.29,30.2646,22.46亿,22.46亿
32,600170,上海建工,SH,2.70,1.12,A股,符合,雄安新区、低空经济、装配建筑、工业互联网、房屋检测、钍基熔盐堆、生意社、工程建设、反内卷概念、PPP、供给侧改革、核能核电、内循环、一带一路、人工智能、黄金概念、机器人概念,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,5520.79万,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,PPP模式、乡村振兴、证金持股、水利建设、工业互联、标准普尔、钍基熔盐堆、工程建设、低空基建、核能核电、央国企改革、DeepSeek概念、人工智能、富时罗素、MSCI中国、黄金概念、机器人概念、新型城镇化、雄安新区、数字孪生、融资融券、低空经济、装配建筑、房屋检测、2025年报预减、上证380、中证500、低价股、沪股通、绿色电力、参股券商、价值股、小盘价值、数据中心、小盘股、水泥概念、一带一路、土壤修复、长江三角、碳中和、参股银行、地下管网、沪企改革、光伏建筑一体化,0.030,2.72,2.67,1.92,1.43,1.71亿,4.61亿,6037.10,0.7664,239.92亿,239.92亿
33,688759,必贝特-U,SH,31.81,3.11,A股,符合,-,医药生物-化学制药-化学制剂,5446.42万,医药生物-化学制药-化学制剂,小盘股、细胞免疫治疗、融资融券、减肥药、注册制次新股、创新药、次新股,0.960,32.16,30.65,8.48,1.15,452.61万,1.42亿,-67.87,8.7997,143.16亿,16.98亿
34,000513,丽珠集团,SZ,32.65,-0.55,A股,符合,生物制品、广东自贸、霉素、医药设备、区域经济、抗原检测、AI医疗、生物疫苗、三胎概念、仿制药一致性评价、流感、精准医疗、医疗健康、人工智能、辅助生殖、重组蛋白、减肥药、基因测序、创新药、痘病毒防治、幽门螺杆菌概念、传统中药,医药生物-化学制药-化学制剂,5272.04万,医药生物-化学制药-化学制剂,中盘股、宠物经济、标准普尔、深成500、生物疫苗、仿制药一致性评价、中药概念、横琴新区、DeepSeek概念、辅助生殖、富时罗素、重组蛋白、创新药、基因测序、MSCI中国、中盘价值、融资融券、深股通、中证500、GLP-1制剂、价值股、猴痘概念、流感、单抗概念、精准医疗、病原体防治、减肥药、幽门螺杆菌概念、PD-1,-0.180,32.88,32.52,0.94,0.97,532.71万,1.74亿,12.56,1.9981,289.90亿,185.50亿
35,002977,*ST天箭,SZ,27.11,5.00,A股,符合,军工、卫星导航、军工装备、商业航天、低轨卫星,国防军工-军工电子Ⅱ-军工电子Ⅲ,5218.26万,国防军工-军工电子Ⅱ-军工电子Ⅲ,军工、军工信息化、西部大开发、卫星导航、雷达、导弹、昨日首板、卫星通信、第三代半导体、商业航天、氮化镓、最近多板,1.290,27.11,25.56,8.68,1.22,578.28万,1.53亿,208.84,3.8288,32.56亿,18.07亿
36,600570,恒生电子,SH,26.79,2.49,A股,符合,区块链、多模态AI、应用概念、ai应用、数智、通义千问、AI智能体、华为昇腾、独角兽、国产操作系统、低空经济、华为云、ChatGPT概念、碳交易、电商概念、国产替代、ai算力、软件服务、谷歌概念、腾讯云、阿里巴巴概念、rwa、大数据、抖音豆包、多元金融、华为概念、甲骨文概念、信创、互联网金融、manus、DeepSeek概念、CPO概念、人工智能、英伟达GTC大会、创新药、稳定币概念、云计算、上海自贸、阿里芯片（平头哥）、数字货币、算力概念、grok3、华为鸿蒙、国产软件、电子商务概念、蚂蚁金服、tpu、灵光、互联网医疗,计算机-软件开发-垂直应用软件,5156.11万,计算机-软件开发-垂直应用软件,区块链、多模态AI、鸿蒙概念、数字经济、上证180_、证金持股、参股保险、标准普尔、AI智能体、华为概念、HS300_、互联网金融、信创、华为昇腾、AI应用、DeepSeek概念、独角兽、人工智能、蚂蚁概念、中国AI 50、富时罗素、MSCI中国、阿里概念、互联医疗、华为鲲鹏、数据要素、智慧政务、创新医疗服务、融资融券、数字货币、AIGC概念、沪股通、ChatGPT概念、大盘股、碳交易、电商概念、国产软件、生物识别、长江三角、碳中和、跨境支付,0.650,27.44,26.54,2.53,2.34,4783.33万,12.89亿,91.39,5.0869,507.31亿,507.31亿
37,688772,珠海冠宇,SH,16.60,-4.10,A股,符合,国产芯片、智能无人机、贸易战、高压快充、AIPC、ai应用、消费电子、华为概念、小米概念、固态电池、电池概念、端侧、DeepSeek概念、人工智能、AI手机、广东自贸、锂动力电池、低空经济、科创板成分股、AI眼镜、无人机、区域经济、电子设备、ChatGPT概念、苹果概念、锂电池、lpu、华为鸿蒙、固态电池材料、新材料、人形机器人,电力设备-电池-锂电池,5145.67万,电力设备-电池-锂电池,钠离子电池、粤港澳大湾区、转债标的、贬值受益、新能源车、华为概念、小米概念、电池技术、智能穿戴、消费电子概念、2025三季报预增、固态电池、科创板做市股、荣耀概念、DeepSeek概念、机器人概念、飞行汽车(eVTOL)、低空经济、融资融券、无人机、中证500、沪股通、华为手机、苹果概念、小盘价值、小盘股、人形机器人、锂电池概念,-0.710,17.10,15.38,8.72,2.66,9873.27万,16.04亿,-55.46,2.6085,187.94亿,187.94亿
38,603885,吉祥航空,SH,11.44,-1.29,A股,符合,关税、民航局、低空经济、民航、春运,交通运输-航空机场-航空运输,5102.88万,交通运输-航空机场-航空运输,中盘股、融资融券、中盘成长、上证380、中证500、富时罗素、沪股通、MSCI中国、标准普尔、破增发价股、上海自贸,-0.150,11.89,11.37,1.11,1.91,2431.62万,2.81亿,14.18,2.4147,249.85亿,249.85亿
