序号,代码,名称,最新价(元) 11:42,涨跌幅(%) 11:42,证券类型,同公司港股简称,总市值(元) 2026.07.03,中证行业指数成份股,申万行业分类,个股题材,市盈率估值状态 截至2026.07.03最新,ST股票,蓝筹股 2026.07.02,同公司港股代码,东财行业总分类,概念,涨跌额(元) 11:42,最高价(元) 11:42,最低价(元) 11:42,换手率(%) 11:42,量比 11:42,成交量(股) 11:42,成交额(元) 11:42,市盈率(动)(倍) 2026.07.03,市净率(倍) 2026.07.03,流通市值(元) 2026.07.03
11,300999,金龙鱼,24.22,0.71,A股,-,1313.11亿,沪深300主要消费指数、中证主要消费指数、中证全指主要消费指数、中证全指主要消费行业指数、中证全指食品、饮料与烟草行业指数、中证800食品饮料指数、中证全指食品、饮料与烟草指数、中证全指食品指数、沪深300食品饮料指数、沪深300食品指数,农林牧渔-农产品加工-粮油加工,食品饮料、大消费、户外休闲运动、社区团购、体育产业、区域经济、农村电商、预制菜概念、电商概念、关税、电子商务概念、大豆、内循环、调味品概念、上海自贸,估值较低,否,二线蓝筹,-,农林牧渔-农产品加工-粮油加工,融资融券、深证100R、行业龙头、深股通、社区团购、体育产业、破发股、鸡肉概念、深成500、大盘股、预制菜概念、消费风格、电商概念、HS300_、茅指数、调味品概念、超级品牌、创业板综、富时罗素、长江三角、上海自贸,0.170,24.58,24.05,1.10,1.00,594.45万,1.45亿,22.16,1.3589,131.43亿
12,000568,泸州老窖,76.97,-0.26,A股,-,1132.92亿,沪深300主要消费指数、中证主要消费指数、中证全指主要消费指数、中证全指主要消费行业指数、中证全指食品、饮料与烟草行业指数、中证800食品饮料指数、中证全指食品、饮料与烟草指数、中证饮料主题指数、沪深300食品饮料指数,食品饮料-白酒Ⅱ-白酒Ⅲ,成渝特区、品牌农产品运营、农业种植、大消费、酿酒行业、内循环、数智、白酒、核心主业,估值较低,否,二线蓝筹,-,食品饮料-白酒Ⅱ-白酒Ⅲ,深证100R、西部大开发、证金持股、标准普尔、深成500、一线酒企、HS300_、成渝特区、农业种植、央国企改革、超级品牌、富时罗素、MSCI中国、啤酒概念、味蕾经济、融资融券、深股通、参股券商、大盘股、IPO受益、消费风格、酿酒概念、茅指数、大盘价值、白酒,-0.200,78.56,76.81,0.47,0.91,685.26万,5.32亿,7.64,2.1956,1132.27亿
13,601888,中国中免,53.09,-1.12,A股,中国中免,1103.10亿,沪深300可选消费指数、中证可选消费指数、中证全指可选消费指数、中证全指可选消费行业指数、中证全指零售业行业指数、中证800零售业指数、中证全指零售业指数、沪深300零售业指数,商贸零售-旅游零售Ⅱ-旅游零售Ⅲ,深海经济、贸易战、低空经济、大消费、海南自贸、景点、免税运营、入境旅游、旅游酒店、电商概念、关税、电子商务概念、东盟自贸区概念、内循环、免税店、免税概念、亚冬会、服务消费、离岛免税、加征关税、旅游,估值较低,否,二线蓝筹,01880.HK,商贸零售-旅游零售Ⅱ-旅游零售Ⅲ,海南自贸、数字经济、上证180_、证金持股、零售概念、标准普尔、跨境电商、HS300_、自由贸易港、央国企改革、免税店、免税概念、中字头、富时罗素、MSCI中国、融资融券、行业龙头、旅游酒店、沪股通、旅游概念、大盘股、消费风格、电商概念、上证50_、一带一路、茅指数、大盘价值,-0.600,54.34,52.93,1.03,0.99,2002.87万,10.73亿,11.74,1.9034,1036.57亿
14,605499,东鹏饮料,125.49,1.14,A股,东鹏饮料,921.35亿,沪深300主要消费指数、中证主要消费指数、中证全指主要消费指数、中证全指主要消费行业指数、中证全指食品、饮料与烟草行业指数、中证800食品饮料指数、中证全指食品、饮料与烟草指数、中证饮料主题指数、沪深300食品饮料指数,食品饮料-饮料乳品-软饮料,张雪机车概念、广东自贸、食品饮料、大消费、内循环、饮用水、新零售、区域经济、无人零售、酒水茶饮,估值较低,否,二线蓝筹,09980.HK,食品饮料-饮料乳品-软饮料,消费风格、HS300_、大盘成长、融资融券、饮料制造、昨日高振幅、数字经济、上证180_、新零售、沪股通、MSCI中国、大盘股,1.410,131.36,123.46,0.97,1.35,657.20万,8.44亿,18.32,4.8353,848.33亿
15,000538,云南白药,48.65,-0.23,A股,-,868.04亿,中证800制药与生物科技指数、沪深300医药卫生指数、中证医药卫生指数、中证全指医药卫生指数、中证全指医药卫生行业指数、中证全指医药行业指数、中证全指医药指数、沪深300制药与生物科技指数,医药生物-中药Ⅱ-中药Ⅲ,大消费、千金藤素、医药设备、口罩、AI智能体、AI医疗、灯塔工厂、流感、工业大麻、医疗健康、医疗美容、健康中国、医疗器械、医药、传统中药,估值较低,否,二线蓝筹,-,医药生物-中药Ⅱ-中药Ⅲ,深证100R、西部大开发、证金持股、特色药、标准普尔、深成500、华为概念、医药医疗风格、HS300_、医药电商、中药概念、工业大麻、超级品牌、央视50_、富时罗素、独家药品、创新药、MSCI中国、医疗器械概念、融资融券、深股通、医美概念、参股券商、大盘股、大盘价值、股权激励,-0.110,49.39,48.58,0.31,1.07,545.69万,2.67亿,10.65,2.2103,862.53亿
16,688271,联影医疗,104.76,0.85,A股,-,863.39亿,沪深300医药卫生指数、中证医药卫生指数、中证全指医药卫生指数、中证全指医疗指数、中证全指医药卫生行业指数、中证全指医疗行业指数、中证全指医疗器械指数,医药生物-医疗器械-医疗设备,多模态AI、ai应用、病毒防治、医药设备、神经网络、芬太尼、AI医疗、AI智能体、华为概念、AI芯片、医疗科技、DeepSeek概念、人工智能、脑机接口、医疗器械、蚂蚁阿福、科创板成分股、医疗设备、华为医疗、国产替代、关税、试剂盒、流感、内循环、可控核聚变、医疗健康、医疗美容,估值较低,否,二线蓝筹,-,医药生物-医疗器械-医疗设备,医疗器械概念、融资融券、上证180_、破发股、沪股通、大盘股、医药医疗风格、HS300_、AI应用、阿兹海默、人工智能、高端装备、智能医疗、MSCI中国,0.880,106.30,104.11,0.61,1.19,502.47万,5.29亿,54.11,3.9313,863.39亿
17,000895,双汇发展,23.10,-0.77,A股,-,800.34亿,沪深300主要消费指数、中证主要消费指数、中证全指主要消费指数、中证全指主要消费行业指数、中证全指食品、饮料与烟草行业指数、中证800食品饮料指数、中证全指食品、饮料与烟草指数、中证全指食品指数、沪深300食品饮料指数、沪深300食品指数,食品饮料-食品加工-肉制品,禽肉、食品饮料、大消费、社区团购、生鲜预制菜、屠宰加工龙头、鸡肉概念、猪肉制品、农村电商、预制菜概念、关税、新零售、人造肉、猪肉概念、无人零售、阿里巴巴概念,估值较低,否,二线蓝筹,-,食品饮料-食品加工-肉制品,深证100R、证金持股、标准普尔、深成500、预制菜概念、HS300_、超级品牌、央视50_、统一大市场、人造肉、富时罗素、猪肉概念、MSCI中国、破增发价股、红利股、味蕾经济、融资融券、行业龙头、深股通、社区团购、鸡肉概念、大盘股、消费风格、大盘价值、新零售,-0.180,23.60,23.03,0.21,1.04,729.67万,1.70亿,15.49,4.0247,800.23亿
18,300015,爱尔眼科,8.45,-0.12,A股,-,788.00亿,沪深300医药卫生指数、中证医药卫生指数、中证全指医药卫生指数、中证全指医疗指数、中证全指医药卫生行业指数、中证全指医疗行业指数,医药生物-医疗服务-医院,ai应用、AI医疗、AI智能体、养老概念、关税、内循环、医疗科技、医疗健康、人工智能、医疗美容、辅助生殖、健康中国、互联网医疗、诊疗医院、银发经济、眼科、医疗器械、大数据,估值较低,否,三线蓝筹,-,医药生物-医疗服务-医院,深证100R、深成500、AI智能体、医药医疗风格、智能穿戴、创投、HS300_、眼科医疗、DeepSeek概念、人工智能、富时罗素、MSCI中国、互联医疗、破增发价股、民营医院、创新医疗服务、宁组合、医疗器械概念、融资融券、AI眼镜、深股通、医美概念、大盘股、养老概念、虚拟数字人、茅指数、创业板综、智能医疗,-0.010,8.64,8.41,0.66,0.88,5272.47万,4.49亿,16.69,3.4194,672.23亿
19,002311,海大集团,45.01,-2.00,A股,-,740.59亿,沪深300主要消费指数、中证主要消费指数、中证全指主要消费指数、中证全指农牧渔指数、中证全指主要消费行业指数,农林牧渔-饲料-水产饲料,广东自贸、深海经济、贸易战、区域经济、宠物经济、种苗饲料、宠物食品、关税、大豆、内循环、DeepSeek概念、上游-养殖投入品、猪肉概念、水产,估值较低,否,三线蓝筹,-,农林牧渔-饲料-水产饲料,水产概念、融资融券、深证100R、行业龙头、深股通、宠物经济、标准普尔、深成500、大盘股、消费风格、生态农业、HS300_、富时罗素、猪肉概念、MSCI中国,-0.920,46.46,44.85,0.32,0.93,533.74万,2.43亿,20.87,3.1353,739.87亿
20,600600,青岛啤酒,52.93,0.04,A股,青岛啤酒股份,722.07亿,沪深300主要消费指数、中证主要消费指数、中证全指主要消费指数、中证全指主要消费行业指数、中证全指食品、饮料与烟草行业指数、中证800食品饮料指数、中证全指食品、饮料与烟草指数、中证饮料主题指数、沪深300食品饮料指数,食品饮料-非白酒-啤酒,知名啤酒品牌、酿酒行业、内循环、大消费、新零售、世界杯、无人零售、黄酒、啤酒概念、酒水茶饮,估值较低,否,三线蓝筹,00168.HK,食品饮料-非白酒-啤酒,味蕾经济、融资融券、知名啤酒品牌、行业龙头、证金持股、上证380、沪股通、标准普尔、大盘股、消费风格、HS300_、饮料制造、酿酒概念、央国企改革、超级品牌、大盘价值、新零售、央视50_、股权激励、富时罗素、MSCI中国、啤酒概念,0.020,53.58,52.85,0.45,0.99,321.06万,1.71亿,10.03,2.2258,375.34亿
21,600436,片仔癀,112.94,-0.76,A股,-,681.39亿,中证800制药与生物科技指数、沪深300医药卫生指数、中证医药卫生指数、中证全指医药卫生指数、中证全指医药卫生行业指数、中证全指医药行业指数、中证全指医药指数、沪深300制药与生物科技指数,医药生物-中药Ⅱ-中药Ⅲ,大消费、分拆预期、化妆品概念、医疗健康、海峡两岸、人工智能、医保目录、医药、传统中药,估值较低,否,三线蓝筹,-,医药生物-中药Ⅱ-中药Ⅲ,专精特新、融资融券、行业龙头、上证180_、证金持股、沪股通、标准普尔、大盘股、肝炎概念、医药医疗风格、HS300_、中药概念、化妆品概念、央国企改革、茅指数、超级品牌、海峡两岸、富时罗素、创新药、MSCI中国,-0.860,115.57,112.58,0.49,1.04,298.50万,3.41亿,22.91,4.4791,681.39亿
22,600196,复星医药,23.19,0.69,A股,复星医药,619.27亿,中证800制药与生物科技指数、沪深300医药卫生指数、中证医药卫生指数、中证全指医药卫生指数、中证全指医药卫生行业指数、中证全指医药行业指数、中证全指医药指数、沪深300制药与生物科技指数,医药生物-化学制药-化学制剂,生物制品、医药流通及综合医药、大消费、ai应用、病毒防治、医用耗材与设备、医药设备、AI医疗、AI智能体、抗体与免疫治疗、肝素概念、生物疫苗、试验区落地、仿制药一致性评价、分拆预期、医疗科技、独角兽、DeepSeek概念、人工智能、辅助生殖、创新药、机器人概念、医疗器械、医药、流感医药流通、进口博览会、CAR-T细胞疗法、抗原检测、养老概念、关税、流感、医疗健康、医疗美容、医保目录、减肥药、互联网医疗,估值较低,否,三线蓝筹,02196.HK,医药生物-化学制药-化学制剂,CRO、免疫治疗、病毒防治、上证180_、证金持股、特色药、标准普尔、AI智能体、生物疫苗、肝素概念、医药医疗风格、HS300_、仿制药一致性评价、DeepSeek概念、独角兽、阿兹海默、央视50_、辅助生殖、富时罗素、创新药、青蒿素、MSCI中国、互联医疗、机器人概念、破增发价股、CAR-T细胞疗法、细胞免疫治疗、民营医院、创新医疗服务、医疗器械概念、融资融券、家庭医生、医美概念、新消费、沪股通、大盘股、IPO受益、猴痘概念、流感、单抗概念、病原体防治、大盘价值、减肥药、智能医疗、长江三角、PD-1,0.160,23.53,22.92,0.93,1.01,1975.48万,4.58亿,17.78,1.2600,491.28亿
23,601607,上海医药,16.01,0.57,A股,上海医药,593.71亿,沪深300医药卫生指数、中证医药卫生指数、中证全指医药卫生指数、中证全指医疗指数、中证全指医药卫生行业指数、中证全指医疗行业指数,医药生物-医药商业-医药流通,疫苗冷链、医药流通及综合医药、医药商业、熊去氧胆酸、病毒防治、科创板概念、电商概念、仿制药一致性评价、电子商务概念、流感、内循环、精准医疗、医疗健康、医疗美容、健康中国、创新药、互联网医疗、cxo、医疗器械、沪企改革、传统中药、流感医药流通,估值较低,否,三线蓝筹,02607.HK,医药生物-医药商业-医药流通,免疫治疗、证金持股、长期破净、标准普尔、生物疫苗、创投、医药医疗风格、HS300_、仿制药一致性评价、医药电商、中药概念、央国企改革、阿兹海默、人工智能、央视50_、富时罗素、独家药品、创新药、MSCI中国、互联医疗、ADC药物、上海自贸、数据要素、CAR-T细胞疗法、内贸流通、创新医疗服务、医疗器械概念、融资融券、行业龙头、医美概念、上证380、沪股通、大盘股、养老概念、电商概念、流感、一带一路、单抗概念、精准医疗、大盘价值、智能医疗、长江三角、沪企改革、SPD概念,0.090,16.21,15.93,0.30,1.13,832.24万,1.34亿,10.47,0.7680,446.55亿
24,000963,华东医药,29.62,0.44,A股,-,519.46亿,中证800制药与生物科技指数、沪深300医药卫生指数、中证医药卫生指数、中证全指医药卫生指数、中证全指医药卫生行业指数、中证全指医药行业指数、中证全指医药指数、沪深300制药与生物科技指数,医药生物-化学制药-化学制剂,CAR-T细胞疗法、疫苗冷链、合成生物、大消费、宠物健康、霉素、家庭医生、医药设备、GLP-1制剂、AI医疗、专科创新药及制剂、关税、麦角硫因、注射填充、流感、医疗健康、人工智能、医疗美容、减肥药、创新药、冷链物流、医疗器械、医药、传统中药,估值较低,否,三线蓝筹,-,医药生物-化学制药-化学制剂,合成生物、深证100R、证金持股、宠物经济、标准普尔、深成500、医药医疗风格、HS300_、医药电商、中药概念、人工智能、富时罗素、创新药、MSCI中国、ADC药物、细胞免疫治疗、内贸流通、医疗器械概念、融资融券、宠物健康、深股通、医美概念、新消费、GLP-1制剂、大盘股、肝炎概念、单抗概念、大盘价值、减肥药、智能医疗、长江三角、冷链物流、PD-1,0.130,30.30,29.24,0.95,1.07,1660.74万,4.93亿,12.96,2.1017,519.24亿
25,002920,德赛西威,85.85,5.87,A股,-,512.36亿,沪深300可选消费指数、中证可选消费指数、中证全指可选消费指数、中证全指可选消费行业指数、中证全指乘用车及零部件行业指数、中证全指乘用车及零部件指数、沪深300汽车与零部件指数、沪深300汽车零配件指数,计算机-软件开发-垂直应用软件,贸易战、ai应用、数智、汽车零部件项目定点、通义千问、AI智能体、AI芯片、无人驾驶、汽车零部件、机器人概念、AI硬件、华为汽车、无人配送、soc芯片、算力芯片、区域经济、ChatGPT概念、车载计算平台、小米机器人、智能网联、英伟达概念、玄铁、内循环、萝卜快跑、智能驾驶、影石全景相机、天神之眼、消费电子、车联网、比亚迪智驾、华为概念、小米概念、长安汽车概念、robotaxi、DeepSeek概念、人工智能、arm、广东自贸、算力概念、智能座舱、一体机、grok3、lpu、华为鸿蒙、小米汽车、人形机器人、比亚迪概念、传感器、智谱AI、汽车电子,估值较低,否,三线蓝筹,-,汽车-汽车零部件-汽车电子电气系统,周期股、深证100R、数字经济、车联网、标准普尔、深成500、先进制造风格、华为概念、长安汽车概念、HS300_、大盘成长、百度概念、毫米波概念、无人驾驶、中国AI 50、富时罗素、MSCI中国、机器人概念、破增发价股、融资融券、华为汽车、深股通、智能座舱、大盘股、英伟达概念、小米汽车、比亚迪概念、海峡两岸、传感器、汽车电子,4.760,86.66,80.80,1.83,2.39,1094.69万,9.30亿,27.76,3.3799,512.20亿
